,ID,poem_author,language,original_poem,light_clean_poem,theme,big_theme
430,449,Liudmila Khersonskaya,Russian,"зимой война становится настоящей войной,
окрас у нее пегий, иной,
зимой у войны особый оскал,
пес лапами роет лес - забыл, что искал.
что искал пес войны - ничего не нашел,
смотрит в глаза, голоден и тяжел.
а и что в наши глаза псу смотреть,
каждый за этот год сжался на треть,
глаз не поднять, не осилить собачий взгляд,
что у сильных на уме, то у пса на языке, говорят -
воет голодный пес холодной войны, 
роняет слюну на землю, скользко от песьей слюны,
и кроме тебя, мама, никто меня, мама, не успокоит- 
страшный пес войны вошел в человеческий лес и воет.","зимой война становится настоящей войной, окрас у нее пегий, иной, зимой у войны особый оскал, пес лапами роет лес - забыл, что искал. что искал пес войны - ничего не нашел, смотрит в глаза, голоден и тяжел. а и что в наши глаза псу смотреть, каждый за этот год сжался на треть, глаз не поднять, не осилить собачий взгляд, что у сильных на уме, то у пса на языке, говорят - воет голодный пес холодной войны,  роняет слюну на землю, скользко от песьей слюны, и кроме тебя, мама, никто меня, мама, не успокоит-  страшный пес войны вошел в человеческий лес и воет.","{'dogs', 'war', 'cold war'}","['war', 'war']"
431,450,Liudmila Khersonskaya,Russian,"***
Не знаю, как сказать тебе, кошка, что идет война,
не знаю, как сказать тебе, что ты можешь остаться одна.
Не знаю, как тебе объяснить
что есть вещи, которые нельзя починить.
Предположим, ты разбиваешь вазу,
ее не склеишь,
предположим, хотя не бывало ни разу,
ты украла курицу и об этом жалеешь,
но от курицы остался обглоданный куриный скелет
и даже ты понимаешь, что курицы больше нет.
Есть коты и кошки, они ничьи,
в их меню входят мыши и воробьи.
Они не пьют молоко, только воду одну,
таким животным легче перенести войну.
Может быть, кошка, нам придется отсюда бежать,
я не смогу взять тебя с собой, да тебя и не удержать,
ты боишься людей, боишься машин,
ты не видела, кошка, горящих шин.
Ты не слышала, как рвутся снаряды над головой,
ты слышала издалека только собачий вой.
Иными словами, кошка, ты остаешься одна,
ты, кошка, никому не будешь нужна.
Вот запас еды, его хватит на четыре дня.
И прости меня, если можешь, прости меня","*** Не знаю, как сказать тебе, кошка, что идет война, не знаю, как сказать тебе, что ты можешь остаться одна. Не знаю, как тебе объяснить что есть вещи, которые нельзя починить. Предположим, ты разбиваешь вазу, ее не склеишь, предположим, хотя не бывало ни разу, ты украла курицу и об этом жалеешь, но от курицы остался обглоданный куриный скелет и даже ты понимаешь, что курицы больше нет. Есть коты и кошки, они ничьи, в их меню входят мыши и воробьи. Они не пьют молоко, только воду одну, таким животным легче перенести войну. Может быть, кошка, нам придется отсюда бежать, я не смогу взять тебя с собой, да тебя и не удержать, ты боишься людей, боишься машин, ты не видела, кошка, горящих шин. Ты не слышала, как рвутся снаряды над головой, ты слышала издалека только собачий вой. Иными словами, кошка, ты остаешься одна, ты, кошка, никому не будешь нужна. Вот запас еды, его хватит на четыре дня. И прости меня, если можешь, прости меня","{'cats', 'cat', 'war', 'animals'}","['war', 'animal']"
432,451,Liudmila Khersonskaya,Russian,"як страшно, коли приходять такі вірші.
See Translation
Людмила Херсонская
December 6, 2014 · 
зимой война становится настоящей войной,
окрас у нее пегий, иной,
зимой у войны особый оскал,
пес лапами роет лес - забыл, что искал.
что искал пес войны - ничего не нашел,
смотрит в глаза, голоден и тяжел.
а и что в наши глаза псу смотреть,
каждый за этот год сжался на треть,
глаз не поднять, не осилить собачий взгляд,
что у сильных на уме, то у пса на языке, говорят -
воет голодный пес холодной войны, 
роняет слюну на землю, скользко от песьей слюны,
и кроме тебя, мама, никто меня, мама, не успокоит- 
страшный пес войны вошел в человеческий лес и воет.","як страшно, коли приходять такі вірші. See Translation Людмила Херсонская December 6, 2014 ·  зимой война становится настоящей войной, окрас у нее пегий, иной, зимой у войны особый оскал, пес лапами роет лес - забыл, что искал. что искал пес войны - ничего не нашел, смотрит в глаза, голоден и тяжел. а и что в наши глаза псу смотреть, каждый за этот год сжался на треть, глаз не поднять, не осилить собачий взгляд, что у сильных на уме, то у пса на языке, говорят - воет голодный пес холодной войны,  роняет слюну на землю, скользко от песьей слюны, и кроме тебя, мама, никто меня, мама, не успокоит-  страшный пес войны вошел в человеческий лес и воет.","{'dogs', 'war', 'cold war', 'animals'}","['war', 'war', 'animal']"
433,452,Nathalie Beltchenko,Ukrainian,"*
цапли зимуют в Киеве
храбрятся
серые на белом
*
в варежку синицы-ремеза
зимний Никола
подарок положит
*
хочу видеть снегиря –
и он прилетает
по дружбе
*
пламя печное 
бликует
памяти навстречу
*
погадай на Андрія
судженого
конем не об’їдеш
*
зимові зірки
з памороззю
однієї крові
*
передноворічне позачасся
десь МКС летить
а ми при свічках",* цапли зимуют в Киеве храбрятся серые на белом * в варежку синицы-ремеза зимний Никола подарок положит * хочу видеть снегиря – и он прилетает по дружбе * пламя печное  бликует памяти навстречу * погадай на Андрія судженого конем не об’їдеш * зимові зірки з памороззю однієї крові * передноворічне позачасся десь МКС летить а ми при свічках,"{'winter', 'geography', 'herons', 'ukrainian geography', 'nature', 'kyiv', 'environment', 'new year', 'seasons', 'time'}","['geography', 'geography', 'nature', 'season', 'time']"
434,453,Julia Musakovska,Ukrainian,"Жінка, яка народжує тільки синів,
краще за всіх знає, що таке відпускати.
Скулений біля ніг її білоголовий сніг
віддано підіймає на неї зіниці-кратери.
""Тихо сидіти,"" - зронить краєчком вуст,
достеменно до кого - не зрозумієш.
Під хутром вгадує кров колючу й нову,
стримується, хоч у горлі шкребеться миша.
Припнуті до серця металеві нитки
розривають на всі чотири сторони світу -
більше їй не належить нічого, за ким
виглядати очі, доки не розвидніється.
Вміє іти малими кроками, але до кінця,
вміє знаходити силу, коли її більше немає.
У кишенях десятки куль дзенькотять,
спіймані на півдорозі до цілі, 
та все замало.
Приросла волоссям до неба, і вглиб
поміж мертвого листя вповзає одіж,
тріскає під ногами земля, наче теплий хліб, 
солодко так, волого і безтривожно.
Сніг тулиться носом у шию і не дає
вклякнути, висмикує, повертає до тями.
Чорні часи - 
коли довіряти не зможеш псові своєму,
доведеться хіба що перетворитись на камінь.
Без ланцюга прив'язаний, завжди побіля ніг.
Відірвала із м'ясом, своєчасно дала свободу.
Відпустила. З усіх залишився тільки сніг.
вилюднілий, нашорошений, незагоєний.
14.12.2014","Жінка, яка народжує тільки синів, краще за всіх знає, що таке відпускати. Скулений біля ніг її білоголовий сніг віддано підіймає на неї зіниці-кратери. ""Тихо сидіти,"" - зронить краєчком вуст, достеменно до кого - не зрозумієш. Під хутром вгадує кров колючу й нову, стримується, хоч у горлі шкребеться миша. Припнуті до серця металеві нитки розривають на всі чотири сторони світу - більше їй не належить нічого, за ким виглядати очі, доки не розвидніється. Вміє іти малими кроками, але до кінця, вміє знаходити силу, коли її більше немає. У кишенях десятки куль дзенькотять, спіймані на півдорозі до цілі,  та все замало. Приросла волоссям до неба, і вглиб поміж мертвого листя вповзає одіж, тріскає під ногами земля, наче теплий хліб,  солодко так, волого і безтривожно. Сніг тулиться носом у шию і не дає вклякнути, висмикує, повертає до тями. Чорні часи -  коли довіряти не зможеш псові своєму, доведеться хіба що перетворитись на камінь. Без ланцюга прив'язаний, завжди побіля ніг. Відірвала із м'ясом, своєчасно дала свободу. Відпустила. З усіх залишився тільки сніг. вилюднілий, нашорошений, незагоєний. 14.12.2014","{'family', 'war', 'motherhood'}","['family', 'war']"
435,454,Julia Musakovska,Ukrainian,"давній текст, який тепер теж читається по-іншому.
БІЛА КОЛИСКОВА
люляй моя остання солодка здобич
в небі на фабриці робиться перший сніг
місяць немовби кусень пахкої здоби
люляй мій спійманий звіре із білих снів
стіни побілені вікна розплющить вечір
дихання гнізда звиває межи стропил
фрази наївні неначе білі овечки
ходять убрід із долівки здіймають пил
люляй моє звіря білозубе люляй
напнута спина в готовності до стрибка
важелі каруселі - земної кулі
будуть завжди і ніколи в моїх руках
вимерзлі нори розорані коридори
всі твої шрами на шкірі моїй горять
люляй нарешті ми заплатили дорого
спи моє біло-пухнасте лихе звіря
2011","давній текст, який тепер теж читається по-іншому. БІЛА КОЛИСКОВА люляй моя остання солодка здобич в небі на фабриці робиться перший сніг місяць немовби кусень пахкої здоби люляй мій спійманий звіре із білих снів стіни побілені вікна розплющить вечір дихання гнізда звиває межи стропил фрази наївні неначе білі овечки ходять убрід із долівки здіймають пил люляй моє звіря білозубе люляй напнута спина в готовності до стрибка важелі каруселі - земної кулі будуть завжди і ніколи в моїх руках вимерзлі нори розорані коридори всі твої шрами на шкірі моїй горять люляй нарешті ми заплатили дорого спи моє біло-пухнасте лихе звіря 2011","{'music', 'poetic form', 'mythology', 'lullaby', 'monsters'}",['mythology']
436,455,Oleh Lysheha,Ukrainian,"""Моє тіло раптом стало тісне..
Те, що мав, мало бути більше..
І я зібгався клубком,
І затиснув до крові кулак,
І чекав, щоб він розбух..
Але він не повнився..
До мене знов просився усередину
Той давній простір..
Але я вже набагато менший..
Ще ніколи не було такої тяжкої ночі..
І десь вже над ранком
Не давала спокою одна-єдина думка:
Я не витримаю так далі..
Лише коли він вгамується
І осяде чорна настовбурчена шерсть —
Аж тоді похилиться набік хребет
І, поволі кружляючи,
Я увійду в небесний став..""
Олег Лишега
Про це вже всі знають, а я зараз трохи відрізаний від постійного джерела новин. Все якось маліє перед обличчям (таких) смертей: хтось чекає на транспорт, хтось коментить чиїсь злі коменти, хтось прогризає дірки в чиїхось там преміях чи ґрантах, хтось робить селфі в новій майці, хтось обговорює чиєсь інтерв'ю... А тут ніби б'є ґонґ. Плаваєш собі так під кригою (пам'ятаєте Лишегового коропа?), і раптом хтось б'є по кризі згори. 
Спочивай з миром, Олеже.","""Моє тіло раптом стало тісне.. Те, що мав, мало бути більше.. І я зібгався клубком, І затиснув до крові кулак, І чекав, щоб він розбух.. Але він не повнився.. До мене знов просився усередину Той давній простір.. Але я вже набагато менший.. Ще ніколи не було такої тяжкої ночі.. І десь вже над ранком Не давала спокою одна-єдина думка: Я не витримаю так далі.. Лише коли він вгамується І осяде чорна настовбурчена шерсть — Аж тоді похилиться набік хребет І, поволі кружляючи, Я увійду в небесний став.."" Олег Лишега Про це вже всі знають, а я зараз трохи відрізаний від постійного джерела новин. Все якось маліє перед обличчям  смертей: хтось чекає на транспорт, хтось коментить чиїсь злі коменти, хтось прогризає дірки в чиїхось там преміях чи ґрантах, хтось робить селфі в новій майці, хтось обговорює чиєсь інтерв'ю... А тут ніби б'є ґонґ. Плаваєш собі так під кригою (пам'ятаєте Лишегового коропа?), і раптом хтось б'є по кризі згори.  Спочивай з миром, Олеже.","{'body', 'religion'}",['religion']
437,456,Aleksei Tsvetkov,Russian,"[старое]
вечером
вносим светильники в дом собираем в саду котят
бедные крошки скоро стервятники прилетят
золото кость зола в сторожевых кострах
запах острее ночные цветы источают страх
меры не знали в вине прозевали за лютней страду
скудные злаки овина робость котят в саду
прошлый в желудках иссяк а ведь тучный был урожай
но не отвадить треклятых чем им ни угрожай
пал с погремушкой на горке ангел глухонемой
всех сосчитали цветы бы тоже созвать домой
первые сумерки смрада серые перья с небес
был я любимец с песней теперь я без
рухнул в сенях светильник всю опалил седину
в воздухе свист постепенные крылья гасят луну
лаковый глобус глаза подернут дырами тьмы
бедные наши котята бедные мы", вечером вносим светильники в дом собираем в саду котят бедные крошки скоро стервятники прилетят золото кость зола в сторожевых кострах запах острее ночные цветы источают страх меры не знали в вине прозевали за лютней страду скудные злаки овина робость котят в саду прошлый в желудках иссяк а ведь тучный был урожай но не отвадить треклятых чем им ни угрожай пал с погремушкой на горке ангел глухонемой всех сосчитали цветы бы тоже созвать домой первые сумерки смрада серые перья с небес был я любимец с песней теперь я без рухнул в сенях светильник всю опалил седину в воздухе свист постепенные крылья гасят луну лаковый глобус глаза подернут дырами тьмы бедные наши котята бедные мы,"{'cats', 'kittens', 'religion', 'animals', 'death', 'angels', 'christianity'}","['religion', 'animal', 'death']"
439,458,Serhii Zhadan,Ukrainian,"Добре, добре, знищуй листи,
стирай номери, пали мости,
просто стирай, просто громи,
ми вдосталь мали цієї зими.
#zhadan #жадан","Добре, добре, знищуй листи, стирай номери, пали мости, просто стирай, просто громи, ми вдосталь мали цієї зими.  ","{'winter', 'rain', 'weather', 'seasons'}",['season']
440,459,Arkadii Shtypel,Russian,"вот, давнее
Сочельник! Горящий наплывом хвои
и канцерофобьи! о как неизменно,
кочуя щекой от плеча до колена,
мы жалуем жалкие стати твои:
...в посаде... нога не ступа... ...рожеи...
да вью... Из-под крыши сбежавшая пена
скрывала потухшее веко звезды
с чудесным загибом чернильной ресницы,
чьим светом, сбегая к обрезу страницы,
упорно себя выдавали следы.
И благостен был новогодней страды
сугроб мукомольный с подсыпкой корицы.
Но ярусы бус! но фольянты фольги!
архивы орехов и бронзовых шишек
сулили явленье локтей и лодыжек,
и слезы из глаз, и цветные круги...
Из темного леса гурьбой пироги,
тугие снежки бессердечных мальчишек.
Допустим, вселенная есть теплосеть
с пылающим льдом над местами протечек...
До пят в электрических пуговках свечек,
вся в челочках, смолках – и той облысеть
красе, ибо время обыкло борзеть,
гоня пред собой белохвостых овечек.
Попомнишь под беженским пологом створ
землянки в окрестности солнцеворота;
смеркалось; в селении смолкла работа;
три старца несли упоительный вздор;
звезда-самозванка глядела в упор
как знак, что уже загорелась охота!
Не плачь, дорогая! Все будет потом,
как сказано: баржи пойдут в караване,
набитые доверху как бы дровами
с разбитым крестцом, с обмороженным ртом –
проплыть перед праведным пересудом,
а там раствориться, истаять в тумане.
Оставь, дорогая, все кончится тем,
чем все начинается: солнцеворотом
с ослом и волом, со звездой по субботам,
с пещерой в скрещенье планетных систем.
Под елкою книжка: Жюль Верн или Брэм –
ну что ты, ей-богу... чего уж... чего там...","вот, давнее Сочельник! Горящий наплывом хвои и канцерофобьи! о как неизменно, кочуя щекой от плеча до колена, мы жалуем жалкие стати твои: ...в посаде... нога не ступа... ...рожеи... да вью... Из-под крыши сбежавшая пена скрывала потухшее веко звезды с чудесным загибом чернильной ресницы, чьим светом, сбегая к обрезу страницы, упорно себя выдавали следы. И благостен был новогодней страды сугроб мукомольный с подсыпкой корицы. Но ярусы бус! но фольянты фольги! архивы орехов и бронзовых шишек сулили явленье локтей и лодыжек, и слезы из глаз, и цветные круги... Из темного леса гурьбой пироги, тугие снежки бессердечных мальчишек. Допустим, вселенная есть теплосеть с пылающим льдом над местами протечек... До пят в электрических пуговках свечек, вся в челочках, смолках – и той облысеть красе, ибо время обыкло борзеть, гоня пред собой белохвостых овечек. Попомнишь под беженским пологом створ землянки в окрестности солнцеворота; смеркалось; в селении смолкла работа; три старца несли упоительный вздор; звезда-самозванка глядела в упор как знак, что уже загорелась охота! Не плачь, дорогая! Все будет потом, как сказано: баржи пойдут в караване, набитые доверху как бы дровами с разбитым крестцом, с обмороженным ртом – проплыть перед праведным пересудом, а там раствориться, истаять в тумане. Оставь, дорогая, все кончится тем, чем все начинается: солнцеворотом с ослом и волом, со звездой по субботам, с пещерой в скрещенье планетных систем. Под елкою книжка: Жюль Верн или Брэм – ну что ты, ей-богу... чего уж... чего там...","{'christmas eve', 'books', 'weather', 'seasons', 'christmas', 'snow'}",['season']
442,461,Arkadii Shtypel,Russian,"Сказка о Козе
Это волчьи глаза или звезды - в стволах на краю
перелеска?
Полночь, поздняя осень, мороз.
Голый дуб надо мной весь трепещет от звездного блеска,
Под ногою сухое хрустит серебро.
Затвердели, как камень, тропинки, за лето набитые.
Ты одна, ты одна, страшной сказки осенней Коза!
Расцветают, горят на железном морозе несытые
Волчьи, божьи глаза.
29.Х.15","Сказка о Козе Это волчьи глаза или звезды - в стволах на краю перелеска? Полночь, поздняя осень, мороз. Голый дуб надо мной весь трепещет от звездного блеска, Под ногою сухое хрустит серебро. Затвердели, как камень, тропинки, за лето набитые. Ты одна, ты одна, страшной сказки осенней Коза! Расцветают, горят на железном морозе несытые Волчьи, божьи глаза. 29.Х.15","{'religion', 'animals', 'goat', 'fable', 'mythology', 'wolf', 'god', 'literature'}","['religion', 'animal', 'mythology']"
444,463,Czeslaw Milos,Ukrainian,"Друзі, всім веселих свят.
А головне - сили, віри та любові. Не відступаймось і не відмовляймось
від сказаного та зробленого.
Ось вам щойноперекладений Мілош під ялинку.
Чеслав Мілош- ЗАКЛЯТТЯ
Прекрасним є людський розум і непереможним.
Ані грати, ні дріт, ні віддання книжок на перемелювання,
Ні вирок вигнання нічого не вдіють проти нього.
Він установлює в мові загальні ідеї
І веде нашу руку, саме тому пишемо з великої літери
Правда і Справедливість, а з малої брехня і кривда.
Він понад те, що є, виносить те, що бути повинно,
Ворожий розпачу, приятель надії.
Він не знає ні елліна, ні юдея, невільника ні пана,
В керування віддаючи нам спільне господарство світу.
Він із плюгавого гамору затяганих висловлювань
Рятує думки ясні та суворі.
Він говорить нам, що все є вічно новим попід сонцем,
Розкриває долоню затвердлу того, що вже було.
Чудовою і молодою є Філо-Софія
Й споріднена з нею поезія в Добра на службі.
Природа щойно вчора освячувала їхнє народження,
Звістку про що горам принесли єдиноріг і луна.
Славною буде їхня приязнь, час їхній немає кордонів.
Їхні вороги віддали себе на загибель.
Переклад Сергія #Жадан'а
#zhadan","Друзі, всім веселих свят. А головне - сили, віри та любові. Не відступаймось і не відмовляймось від сказаного та зробленого. Ось вам щойноперекладений Мілош під ялинку. Чеслав Мілош- ЗАКЛЯТТЯ Прекрасним є людський розум і непереможним. Ані грати, ні дріт, ні віддання книжок на перемелювання, Ні вирок вигнання нічого не вдіють проти нього. Він установлює в мові загальні ідеї І веде нашу руку, саме тому пишемо з великої літери Правда і Справедливість, а з малої брехня і кривда. Він понад те, що є, виносить те, що бути повинно, Ворожий розпачу, приятель надії. Він не знає ні елліна, ні юдея, невільника ні пана, В керування віддаючи нам спільне господарство світу. Він із плюгавого гамору затяганих висловлювань Рятує думки ясні та суворі. Він говорить нам, що все є вічно новим попід сонцем, Розкриває долоню затвердлу того, що вже було. Чудовою і молодою є Філо-Софія Й споріднена з нею поезія в Добра на службі. Природа щойно вчора освячувала їхнє народження, Звістку про що горам принесли єдиноріг і луна. Славною буде їхня приязнь, час їхній немає кордонів. Їхні вороги віддали себе на загибель. Переклад Сергія 'а ","{'human mind', 'psychology', 'philosophy', 'language'}","['psychology', 'language']"
445,464,Ludmila Khersonskaya,Russian,"Расплясались, разгулялись бесы
По России вдоль и поперек -
Рвет и крутит снежные завесы
Выстуженный Северовосток.
Ветер обнаженных плоскогорий,
Ветер тундр, полесий и поморий,
Черный ветер ледяных равнин,
Ветер смут, побоищ и погромов,
Медных зорь, багровых окоемов,
Красных туч и пламенных годин.
Этот ветер был нам верным другом
На распутье всех лихих дорог:
Сотни лет мы шли навстречу вьюгам
С юга вдаль - на Северовосток.
Войте, вейте, снежные стихии,
Заметая древние гроба;
В этом ветре вся судьба России -
Страшная, безумная судьба.
В этом ветре - гнет веков свинцовых,
Русь Малют, Иванов, Годуновых,
Хищников, опричников, стрельцов,
Свежевателей живого мяса -
Чертогона, вихря, свистопляса -
Быль царей и явь большевиков.
Что менялось? Знаки и возглавья?
Тот же ураган на всех путях:
В комиссарах - дурь самодержавья,
Взрывы Революции - в царях.
Вздеть на виску, выбить из подклетья,
И швырнуть вперед через столетья
Вопреки законам естества -
Тот же хмель и та же трын-трава.
Ныне ль, даве ль?- все одно и то же:
Волчьи морды, машкеры и рожи,
Спертый дух и одичалый мозг,
Сыск и кухня Тайных Канцелярий,
Пьяный гик осатанелых тварей,
Жгучий свист шпицрутенов и розг,
Дикий сон военных поселений,
Фаланстер, парадов и равнений,
Павлов, Аракчеевых, Петров,
Жутких Гатчин, страшных Петербургов,
Замыслы неистовых хирургов
И размах заплечных мастеров.
Сотни лет тупых и зверских пыток,
И еще не весь развернут свиток,
И не замкнут список палачей,
Бред Разведок, ужас Чрезвычаек -
Ни Москва, ни Астрахань, ни Яик
Не видали времени горчей.
Бей в лицо и режь нам грудь ножами,
Жги войной, усобьем, мятежами -
Сотни лет навстречу всем ветрам
Мы идем по ледяным пустыням -
Не дойдем... и в снежной вьюге сгинем
Иль найдем поруганным наш храм -
Нам ли весить замысел Господний,
Все поймем, все вынесем любя -
Жгучий ветр полярной Преисподней -
Божий Бич!- приветствую тебя!
(М.Волошин)","Расплясались, разгулялись бесы По России вдоль и поперек - Рвет и крутит снежные завесы Выстуженный Северовосток. Ветер обнаженных плоскогорий, Ветер тундр, полесий и поморий, Черный ветер ледяных равнин, Ветер смут, побоищ и погромов, Медных зорь, багровых окоемов, Красных туч и пламенных годин. Этот ветер был нам верным другом На распутье всех лихих дорог: Сотни лет мы шли навстречу вьюгам С юга вдаль - на Северовосток. Войте, вейте, снежные стихии, Заметая древние гроба; В этом ветре вся судьба России - Страшная, безумная судьба. В этом ветре - гнет веков свинцовых, Русь Малют, Иванов, Годуновых, Хищников, опричников, стрельцов, Свежевателей живого мяса - Чертогона, вихря, свистопляса - Быль царей и явь большевиков. Что менялось? Знаки и возглавья? Тот же ураган на всех путях: В комиссарах - дурь самодержавья, Взрывы Революции - в царях. Вздеть на виску, выбить из подклетья, И швырнуть вперед через столетья Вопреки законам естества - Тот же хмель и та же трын-трава. Ныне ль, даве ль?- все одно и то же: Волчьи морды, машкеры и рожи, Спертый дух и одичалый мозг, Сыск и кухня Тайных Канцелярий, Пьяный гик осатанелых тварей, Жгучий свист шпицрутенов и розг, Дикий сон военных поселений, Фаланстер, парадов и равнений, Павлов, Аракчеевых, Петров, Жутких Гатчин, страшных Петербургов, Замыслы неистовых хирургов И размах заплечных мастеров. Сотни лет тупых и зверских пыток, И еще не весь развернут свиток, И не замкнут список палачей, Бред Разведок, ужас Чрезвычаек - Ни Москва, ни Астрахань, ни Яик Не видали времени горчей. Бей в лицо и режь нам грудь ножами, Жги войной, усобьем, мятежами - Сотни лет навстречу всем ветрам Мы идем по ледяным пустыням - Не дойдем... и в снежной вьюге сгинем Иль найдем поруганным наш храм - Нам ли весить замысел Господний, Все поймем, все вынесем любя - Жгучий ветр полярной Преисподней - Божий Бич!- приветствую тебя! ","{'time', 'memory', 'twentieth century', 'war'}","['time', 'memory', 'war']"
446,465,Ludmila Khersonskaya,Russian,"нет ничего трусливее террористических актов
подкинутых пакетиков с проводочками и начинкой
направленных наугад против чужой жизни
двуногими без лица без конца беспредела
***
вот мое стихотворение 2010 года
***
Ты все еще с ними? Так они же боятся!
Выходят из-за угла из касок, из-за затвора,
выстраиваются в лоб, в висок, в затылок равняться,
кричат, воруя от страха: «Держите вора!»
Ты все еще с ними? Так они же в ботинках!
Вон, протоптали – латай теперь - дырку в заборе,
выбоину в голове, яму в окне, книжку в картинках.
Вон они говорят, шапки горят на воре.
Ты все еще с ними? Так они же сквозные!
В ушах свистят, в голове шумят, в глазах двоятся.
Выходят из-за угла похожие запасные.
Очень хотят убить. Но убить боятся.
***
теперь они не боятся убивать","нет ничего трусливее террористических актов подкинутых пакетиков с проводочками и начинкой направленных наугад против чужой жизни двуногими без лица без конца беспредела *** вот мое стихотворение 2010 года *** Ты все еще с ними? Так они же боятся! Выходят из-за угла из касок, из-за затвора, выстраиваются в лоб, в висок, в затылок равняться, кричат, воруя от страха: «Держите вора!» Ты все еще с ними? Так они же в ботинках! Вон, протоптали – латай теперь - дырку в заборе, выбоину в голове, яму в окне, книжку в картинках. Вон они говорят, шапки горят на воре. Ты все еще с ними? Так они же сквозные! В ушах свистят, в голове шумят, в глазах двоятся. Выходят из-за угла похожие запасные. Очень хотят убить. Но убить боятся. *** теперь они не боятся убивать","{'ukraine', 'war'}",['war']
447,466,Maria Galina,Russian,"ну что, поехали дальше про лисицу? Дальше будет совершенно убойной силы тонкий психологизм.
В общем, наш сюцай, будучи человеком сугубо эмпирического склада, особо заморачиваться не стал, а как пришел в хижину с горшочком и бумажкой с заклинаниями, поставил горшочек в угол комнаты и уселся ждать красавицу. Комната, я напоминаю, поскольку наш сюцай был бедным, была у него одна, то есть столовая она же спальня. То есть кровать для их с красавицей любовных утех стояла тут же. И вот он сидит, значит, за столом и пытается делать уроки, а тут дверь отворяется, и входит его возлюбленная, а поскольку она с пустыми руками никогда к нему не приходила, хорошо понимая мужскую психологию, то в этот раз она принесла апельсины, которыми они привыкли утолять жажду после любовных утех... И только-только подошла она на своих маленьких лотосовых ножках к кровати с этими, значит, апельсинами в руках, только успела улыбнуться своей жемчужной улыбкой и сказать Здравствуй, любимый! как горшочек р-раз, и ее втянул. И нет красавицы, а есть только горшочек, а в нем лисичка. И наш сюцай подскакивает к горшочку и накрывает его бумажкой с заклинанием. И уже хочет взять горшочек с бедной лисичкой, которая мечется там, внутри, и поставить на уголья, как - внимание - взгляд его падает на рассыпанные по кровати оранжевые, кругленькие апельсины. И он вспоминает как им было хорошо, и как она всегда старалась его порадовать, и как они ели вместе эти самые апельсины, и он не выдерживает, и снимает с горшочка бумажку с заклинаниями. И тогда лисичка опять в облике женщины встает из горшочка (не спрашивайте, как), поднимается, пошатываясь от слабости и шока и говорит студенту, мол, простите великодушно, я вообще-то не хотела вас погубить, вы мне просто понравились, и так приятно, что вы оказались по настоящему благородным человеком. Он заплакал и обнял ее и говорит - ну что с того, что ты лисица, будем жить дальше. Ах, говорит красавица, вам, людям, с лисицами и правда жить не рекомендуется, я тревожусь о вашем здоровье, и знаете что, раз вы показали себя таким благородным человеком, есть у меня на примете одна невеста... богатая, красивая, и все такое. И давайте я помогу вам к ней посвататься. Ну вот, дальше наш сюцай жил долго и счастливо, но не с ней.","ну что, поехали дальше про лисицу? Дальше будет совершенно убойной силы тонкий психологизм. В общем, наш сюцай, будучи человеком сугубо эмпирического склада, особо заморачиваться не стал, а как пришел в хижину с горшочком и бумажкой с заклинаниями, поставил горшочек в угол комнаты и уселся ждать красавицу. Комната, я напоминаю, поскольку наш сюцай был бедным, была у него одна, то есть столовая она же спальня. То есть кровать для их с красавицей любовных утех стояла тут же. И вот он сидит, значит, за столом и пытается делать уроки, а тут дверь отворяется, и входит его возлюбленная, а поскольку она с пустыми руками никогда к нему не приходила, хорошо понимая мужскую психологию, то в этот раз она принесла апельсины, которыми они привыкли утолять жажду после любовных утех... И только-только подошла она на своих маленьких лотосовых ножках к кровати с этими, значит, апельсинами в руках, только успела улыбнуться своей жемчужной улыбкой и сказать Здравствуй, любимый! как горшочек р-раз, и ее втянул. И нет красавицы, а есть только горшочек, а в нем лисичка. И наш сюцай подскакивает к горшочку и накрывает его бумажкой с заклинанием. И уже хочет взять горшочек с бедной лисичкой, которая мечется там, внутри, и поставить на уголья, как - внимание - взгляд его падает на рассыпанные по кровати оранжевые, кругленькие апельсины. И он вспоминает как им было хорошо, и как она всегда старалась его порадовать, и как они ели вместе эти самые апельсины, и он не выдерживает, и снимает с горшочка бумажку с заклинаниями. И тогда лисичка опять в облике женщины встает из горшочка , поднимается, пошатываясь от слабости и шока и говорит студенту, мол, простите великодушно, я вообще-то не хотела вас погубить, вы мне просто понравились, и так приятно, что вы оказались по настоящему благородным человеком. Он заплакал и обнял ее и говорит - ну что с того, что ты лисица, будем жить дальше. Ах, говорит красавица, вам, людям, с лисицами и правда жить не рекомендуется, я тревожусь о вашем здоровье, и знаете что, раз вы показали себя таким благородным человеком, есть у меня на примете одна невеста... богатая, красивая, и все такое. И давайте я помогу вам к ней посвататься. Ну вот, дальше наш сюцай жил долго и счастливо, но не с ней.","{'psychology', 'animals', 'mythology', 'fox', 'love'}","['psychology', 'animal', 'mythology', 'love']"
