,ID,poem_author,language,original_poem,light_clean_poem,theme,keywords,keywords_ori,keywords_eng,keyword_eng_theme
626,691,Andrij Bondar,Russian,"Стоят титушки, стоят сиротки,
Рубасы в руках теребят,
Потому что на сижки и водку
Не хватает у этих ребят.","Стоят титушки, стоят сиротки, Рубасы в руках теребят, Потому что на сижки и водку Не хватает у этих ребят.","{'titushki', 'protest', 'maidan', 'revolution'}","[('теребят', 0.2845), ('титушки', 0.2174), ('сиротки', 0.1901), ('рубасы', 0.1843), ('хватает', 0.1463)]","['теребят', 'титушки', 'сиротки', 'рубасы', 'хватает']","['teasing', 'titushki', 'orphans', 'cousin', 'enough']","[{'sequence': 'teasing', 'labels': ['language', 'psychology', 'maidan'], 'scores': [0.2908110022544861, 0.10749198496341705, 0.09655547142028809]}, {'sequence': 'titushki', 'labels': ['gender', 'language', 'mythology'], 'scores': [0.23627561330795288, 0.2150162160396576, 0.07857717573642731]}, {'sequence': 'orphans', 'labels': ['animal', 'nature', 'maidan'], 'scores': [0.7560514807701111, 0.09357263147830963, 0.04470113292336464]}, {'sequence': 'cousin', 'labels': ['family', 'maidan', 'gender'], 'scores': [0.7800265550613403, 0.05042748898267746, 0.0406266413629055]}, {'sequence': 'enough', 'labels': ['maidan', 'time', 'family'], 'scores': [0.11718196421861649, 0.11481128633022308, 0.08401702344417572]}]"
627,692,Stanislav Chernilevsky,Ukrainian,"Катуєшся, що все не до пуття
вузлується твій триб.
Та опріч болю
гадаєш: випадковості життя 
прядуть тобі невипадкову долю.
Чи, може, це призначення пряде,
збираючи трапунки, наче ниті,
строкаті і всебарвні,-
і веде
подробиці уже як імениті,
як миті візерунку, що один,
єдиноцільний аж до некролога-
і крізь долеглість днів, років, годин
і випадків звістує задум Бога
чи запит Бога,
влучний, мов ланцет
доцільности, як станеш тет-а-тет.
10.02.2022р.м. Київ","Катуєшся, що все не до пуття вузлується твій триб. Та опріч болю гадаєш: випадковості життя  прядуть тобі невипадкову долю. Чи, може, це призначення пряде, збираючи трапунки, наче ниті, строкаті і всебарвні,- і веде подробиці уже як імениті, як миті візерунку, що один, єдиноцільний аж до некролога- і крізь долеглість днів, років, годин і випадків звістує задум Бога чи запит Бога, влучний, мов ланцет доцільности, як станеш тет-а-тет. 10.02.2022р.м. Київ","{'god', '', 'time', 'religion', 'memory', 'fate', 'death', 'future'}","[('катуєшся', 0.4646), ('невипадкову', 0.3669), ('долеглість', 0.3283), ('випадковості', 0.3257), ('доцільности', 0.3087)]","['катуєшся', 'невипадкову', 'долеглість', 'випадковості', 'доцільности']","['torture yourself', 'not random', 'severity', 'accidents', 'expediency']","[{'sequence': 'torture yourself', 'labels': ['time', 'maidan', 'language'], 'scores': [0.13391682505607605, 0.12647201120853424, 0.10791198909282684]}, {'sequence': 'not random', 'labels': ['life', 'maidan', 'time'], 'scores': [0.13614235818386078, 0.08711829781532288, 0.08528517931699753]}, {'sequence': 'severity', 'labels': ['time', 'season', 'life'], 'scores': [0.1977587640285492, 0.14585530757904053, 0.10474172979593277]}, {'sequence': 'accidents', 'labels': ['life', 'maidan', 'time'], 'scores': [0.32404252886772156, 0.08340808749198914, 0.07593366503715515]}, {'sequence': 'expediency', 'labels': ['maidan', 'language', 'time'], 'scores': [0.17144513130187988, 0.10486398637294769, 0.10208149254322052]}]"
628,693,Stanislav Chernilevsky,Ukrainian,"Прорис на камені
1
РозпорошИлося життя,
вже, може, в зАчинку щербите.
Ні забуття, ні вороття,
аби хоч щось переробити.
Така розкрита марнота
розкинулася за плечима,
що обрис дальнього хреста
сльозами бачиш- не очима.
І в них не ремство і не жаль,
лиш непрочитана скрижаль.
2
Білі розчерки шиї -
письмо дугове,
мінерального пензля солімка:
на камінчику сірому гуска пливе
чи лебідка під цифрою ""сімка"".
Так прошкрябалось, може, чи склалось тоді,
коли магма стискалася в камінь.
І пливе тепер птаха по сірій воді-
слід прачасу, що грію руками.
Так первІсне- либонь, землетворне тепло
від моєї долоні взворот потекло,
щоб вогні з'ясували, як свідки,
дальньоз'яву мене і лебідки
й цифри сімки- мов знаків з казок,
між якими затерся зв'язок.
09.02.2022р.м. Київ","Прорис на камені 1 РозпорошИлося життя, вже, може, в зАчинку щербите. Ні забуття, ні вороття, аби хоч щось переробити. Така розкрита марнота розкинулася за плечима, що обрис дальнього хреста сльозами бачиш- не очима. І в них не ремство і не жаль, лиш непрочитана скрижаль. 2 Білі розчерки шиї - письмо дугове, мінерального пензля солімка: на камінчику сірому гуска пливе чи лебідка під цифрою ""сімка"". Так прошкрябалось, може, чи склалось тоді, коли магма стискалася в камінь. І пливе тепер птаха по сірій воді- слід прачасу, що грію руками. Так первІсне- либонь, землетворне тепло від моєї долоні взворот потекло, щоб вогні з'ясували, як свідки, дальньоз'яву мене і лебідки й цифри сімки- мов знаків з казок, між якими затерся зв'язок. 09.02.2022р.м. Київ","{'time', 'geography', 'sadness', 'birds', 'animals', 'vanity', 'life', 'scatter', 'volcano', 'tears'}","[('скрижаль', 0.4093), ('розпорошилося', 0.3488), ('прошкрябалось', 0.3461), ('камінчику', 0.3429), ('розчерки', 0.3399)]","['скрижаль', 'розпорошилося', 'прошкрябалось', 'камінчику', 'розчерки']","['tablet', 'scattered', 'splattered', 'a pebble', 'dashes']","[{'sequence': 'tablet', 'labels': ['time', 'maidan', 'gender'], 'scores': [0.1703929752111435, 0.14293837547302246, 0.08315585553646088]}, {'sequence': 'scattered', 'labels': ['maidan', 'time', 'language'], 'scores': [0.13605405390262604, 0.12220460176467896, 0.10038439929485321]}, {'sequence': 'splattered', 'labels': ['time', 'maidan', 'language'], 'scores': [0.10934906452894211, 0.09441708028316498, 0.07858777046203613]}, {'sequence': 'a pebble', 'labels': ['maidan', 'nature', 'protest'], 'scores': [0.16277353465557098, 0.135333850979805, 0.09628380089998245]}, {'sequence': 'dashes', 'labels': ['maidan', 'family', 'time'], 'scores': [0.11986294388771057, 0.09257044643163681, 0.09135255962610245]}]"
630,696,Dmitry Strotsev,Russian,"* 
говорит Христос
русскому богу
говорит Христос
выйди дракон
из людей
выйди дракон
Тело Мое разломи
приими
Крови Моей причастись
упразднись
26.06.2014",*  говорит Христос русскому богу говорит Христос выйди дракон из людей выйди дракон Тело Мое разломи приими Крови Моей причастись упразднись 26.06.2014,"{'religion', 'ukraine', 'christianity', 'russia', 'christ'}","[('упразднись', 0.3121), ('причастись', 0.3009), ('дракон', 0.2448), ('разломи', 0.1801), ('богу', 0.1777)]","['упразднись', 'причастись', 'дракон', 'разломи', 'богу']","['abolish', 'take communion', 'the Dragon', 'faults', 'god']","[{'sequence': 'abolish', 'labels': ['protest', 'death', 'maidan'], 'scores': [0.2496870905160904, 0.1410641372203827, 0.08380088955163956]}, {'sequence': 'take communion', 'labels': ['religion', 'family', 'love'], 'scores': [0.41053688526153564, 0.13468849658966064, 0.06920690089464188]}, {'sequence': 'the Dragon', 'labels': ['animal', 'nature', 'mythology'], 'scores': [0.9242209792137146, 0.03919243812561035, 0.010608064942061901]}, {'sequence': 'faults', 'labels': ['maidan', 'nation', 'time'], 'scores': [0.12351012229919434, 0.08445239812135696, 0.07898078858852386]}, {'sequence': 'god', 'labels': ['religion', 'gender', 'mythology'], 'scores': [0.4747698903083801, 0.14536258578300476, 0.08754991739988327]}]"
631,697,Julia Musakovska,Ukrainian,"Викопаємо землянку, заведемо козу,
буде нам клапоть двору, мовби віденський парк.
В ночі у роті виблискує місяця зуб,￼
кожного з нас до ранку перетворивши на згарок. 
Жменька теплого попелу, жменька сухих суниць. 
Наші маленькі радощі, наше велике горе.
Засмієшся – і ніби став байдужим і ницим.
Тиснеш руків'я лопати, наче вороже горло –
задихаюся, бо ввижається, що моє.
Глянь, незабудки розквітли на передпліччі.
Грім весняний – так забавляється Габріель
з нашими іменами у формі кличній.
Діти зчорнілого саду, випаленої дороги.
Як це тепер – класти у землю, аби зійшло?
Пити щодня молоко з присмаком крові,
поки вгорі кружляє тінь людолова.
Мостить гнізда на грушах – хоч виріж усі.
Стань до мене обличчям, тихий, немов трава.
Ніч промине. Ми ступимо по холодній росі.
Будемо розкошувати. Будемо виживати.
2015
(з книжки “Чоловіки, жінки і діти”)","Викопаємо землянку, заведемо козу, буде нам клапоть двору, мовби віденський парк. В ночі у роті виблискує місяця зуб,￼ кожного з нас до ранку перетворивши на згарок.  Жменька теплого попелу, жменька сухих суниць.  Наші маленькі радощі, наше велике горе. Засмієшся – і ніби став байдужим і ницим. Тиснеш руків'я лопати, наче вороже горло – задихаюся, бо ввижається, що моє. Глянь, незабудки розквітли на передпліччі. Грім весняний – так забавляється Габріель з нашими іменами у формі кличній. Діти зчорнілого саду, випаленої дороги. Як це тепер – класти у землю, аби зійшло? Пити щодня молоко з присмаком крові, поки вгорі кружляє тінь людолова. Мостить гнізда на грушах – хоч виріж усі. Стань до мене обличчям, тихий, немов трава. Ніч промине. Ми ступимо по холодній росі. Будемо розкошувати. Будемо виживати. 2015 (з книжки “Чоловіки, жінки і діти”)","{'survival', 'country life', 'countryside'}","[('засмієшся', 0.4578), ('розквітли', 0.4403), ('передпліччі', 0.4265), ('розкошувати', 0.3803), ('обличчям', 0.3381)]","['засмієшся', 'розквітли', 'передпліччі', 'розкошувати', 'обличчям']","['you will laugh', 'blossomed', 'forearms', 'luxuriate', 'face']","[{'sequence': 'you will laugh', 'labels': ['language', 'maidan', 'life'], 'scores': [0.11185234785079956, 0.09639899432659149, 0.08414537459611893]}, {'sequence': 'blossomed', 'labels': ['life', 'gender', 'language'], 'scores': [0.1199938952922821, 0.09435506165027618, 0.09306547790765762]}, {'sequence': 'forearms', 'labels': ['nature', 'maidan', 'family'], 'scores': [0.15509049594402313, 0.11534170806407928, 0.10622063279151917]}, {'sequence': 'luxuriate', 'labels': ['language', 'maidan', 'poetry'], 'scores': [0.1748296171426773, 0.09465529769659042, 0.09221263229846954]}, {'sequence': 'face', 'labels': ['gender', 'life', 'family'], 'scores': [0.14403916895389557, 0.09640640765428543, 0.09123116731643677]}]"
632,698,Maria Galina,Russian,"Мы с братаном
Отдали голоса
Сильному лидеру
Харизматику
Эффективному менеджеру
Теперь ходим
Разговариваем руками
Больше
Нечем",Мы с братаном Отдали голоса Сильному лидеру Харизматику Эффективному менеджеру Теперь ходим Разговариваем руками Больше Нечем,"{'politics', 'relationships', 'family'}","[('разговариваем', 0.5693), ('эффективному', 0.5289), ('менеджеру', 0.4361), ('харизматику', 0.3392), ('лидеру', 0.1557)]","['разговариваем', 'эффективному', 'менеджеру', 'харизматику', 'лидеру']","['talking', 'effective', 'manager', 'charismatic', 'the leader']","[{'sequence': 'talking', 'labels': ['language', 'time', 'family'], 'scores': [0.4776264727115631, 0.06524959206581116, 0.060068123042583466]}, {'sequence': 'effective', 'labels': ['maidan', 'time', 'family'], 'scores': [0.13222543895244598, 0.11039473116397858, 0.11010750383138657]}, {'sequence': 'manager', 'labels': ['gender', 'time', 'life'], 'scores': [0.13157084584236145, 0.10872236639261246, 0.07375339418649673]}, {'sequence': 'charismatic', 'labels': ['language', 'maidan', 'life'], 'scores': [0.11905749142169952, 0.11486457288265228, 0.11048080027103424]}, {'sequence': 'the leader', 'labels': ['politics', 'nation', 'gender'], 'scores': [0.19572322070598602, 0.12787267565727234, 0.11953748762607574]}]"
633,699,Oleh Kotsarev,Ukrainian,"СТРИБАЧІ КАМІННЯ

подали грантову заявку
до фонду “південний вітер”
про створення секти “стрибачі каміння”

все просто:
стрибати з каменя на камінь
не поки сягнеш осяяння
а поки є сил

з нас усі сміялись
і фінансування ми не виграли

але пізно —
секту вже створено",СТРИБАЧІ КАМІННЯ  подали грантову заявку до фонду “південний вітер” про створення секти “стрибачі каміння”  все просто: стрибати з каменя на камінь не поки сягнеш осяяння а поки є сил  з нас усі сміялись і фінансування ми не виграли  але пізно — секту вже створено,"{'religion', 'irony', 'money'}","[('фінансування', 0.3133), ('сягнеш', 0.2693), ('заявку', 0.2145), ('стрибачі', 0.2014), ('вітер', 0.1939)]","['фінансування', 'сягнеш', 'заявку', 'стрибачі', 'вітер']","['financing', 'run away', 'application', 'jumpers', 'wind']","[{'sequence': 'financing', 'labels': ['maidan', 'nation', 'gender'], 'scores': [0.21812310814857483, 0.11480668932199478, 0.06395189464092255]}, {'sequence': 'run away', 'labels': ['protest', 'time', 'maidan'], 'scores': [0.2227211743593216, 0.13798262178897858, 0.0916576012969017]}, {'sequence': 'application', 'labels': ['family', 'maidan', 'time'], 'scores': [0.10981570929288864, 0.09486496448516846, 0.086296945810318]}, {'sequence': 'jumpers', 'labels': ['gender', 'protest', 'animal'], 'scores': [0.2708313763141632, 0.13685888051986694, 0.12861408293247223]}, {'sequence': 'wind', 'labels': ['nature', 'maidan', 'season'], 'scores': [0.16209498047828674, 0.09366826713085175, 0.08396907150745392]}]"
634,701,Dmitry Strotsev,Russian,"МОЯ НУЖДА
памяти Владимира Бибихина
дело не в том что я
умный среди глупых
сильный среди слабых
добрый среди злых
а в том что я
нуждаюсь
в чужой тьме
для моего света
26.01.2012
ОБЪЯВЛЕНИЕ
хочу величия нестерпимо
плачУ кровавыми слезами
срочно
родина-мать
2008
*
что мне куст говорит-горит 
на высоком простом плече 
он, как любящий взгляд, открыт 
он кузнечиком спит в ключе 
он горит-говорит-молчит 
на широком, как грудь, ветру 
где сутулая речь стоит 
и усталую пьет траву 
где прямая скоба идет 
на бесслезных идет гробах 
этот нежный костер цветет 
как приветствие на губах 
и так жалко глаза отвесть 
этот певчий ожог унять 
и откуда нужда, ответь 
если можно тебя обнять 
1993","МОЯ НУЖДА памяти Владимира Бибихина дело не в том что я умный среди глупых сильный среди слабых добрый среди злых а в том что я нуждаюсь в чужой тьме для моего света 26.01.2012 ОБЪЯВЛЕНИЕ хочу величия нестерпимо плачУ кровавыми слезами срочно родина-мать 2008 * что мне куст говорит-горит  на высоком простом плече  он, как любящий взгляд, открыт  он кузнечиком спит в ключе  он горит-говорит-молчит  на широком, как грудь, ветру  где сутулая речь стоит  и усталую пьет траву  где прямая скоба идет  на бесслезных идет гробах  этот нежный костер цветет  как приветствие на губах  и так жалко глаза отвесть  этот певчий ожог унять  и откуда нужда, ответь  если можно тебя обнять  1993","{'silence', 'announcement', 'poetic form', 'need'}","[('нуждаюсь', 0.3925), ('бесслезных', 0.3877), ('молчит', 0.3468), ('любящий', 0.3018), ('отвесть', 0.2543)]","['нуждаюсь', 'бесслезных', 'молчит', 'любящий', 'отвесть']","['need', 'tearless', 'is silent', 'loving', 'take']","[{'sequence': 'need', 'labels': ['maidan', 'family', 'time'], 'scores': [0.11691604554653168, 0.1039716824889183, 0.10315129905939102]}, {'sequence': 'tearless', 'labels': ['time', 'maidan', 'language'], 'scores': [0.10527805238962173, 0.09164998680353165, 0.09124340862035751]}, {'sequence': 'is silent', 'labels': ['maidan', 'language', 'time'], 'scores': [0.13459324836730957, 0.12228191643953323, 0.11787386238574982]}, {'sequence': 'loving', 'labels': ['love', 'family', 'maidan'], 'scores': [0.5836231112480164, 0.09684596210718155, 0.05125340819358826]}, {'sequence': 'take', 'labels': ['time', 'family', 'protest'], 'scores': [0.1153397262096405, 0.09057831764221191, 0.08677928149700165]}]"
635,702,Dmitry Strotsev,Russian,"* 
почему
посылаю в солдаты
отдаю на смерть
на войну
сына-врача-строителя
сына-друга
сына
почему
повторяю с надрывом
уж лучше чем
от водки
и от простуд
повторяю
за отцом и дедом
26.06.2014",*  почему посылаю в солдаты отдаю на смерть на войну сына-врача-строителя сына-друга сына почему повторяю с надрывом уж лучше чем от водки и от простуд повторяю за отцом и дедом 26.06.2014,"{'soldiers', 'sons', 'war', 'family'}","[('повторяю', 0.3786), ('отдаю', 0.2213), ('посылаю', 0.2046), ('простуд', 0.1922), ('надрывом', 0.1427)]","['повторяю', 'отдаю', 'посылаю', 'простуд', 'надрывом']","['I repeat', 'I give', 'send', 'colds', 'anguish']","[{'sequence': 'I repeat', 'labels': ['time', 'language', 'life'], 'scores': [0.17103073000907898, 0.12090287357568741, 0.09530100971460342]}, {'sequence': 'I give', 'labels': ['maidan', 'family', 'life'], 'scores': [0.10149715095758438, 0.09298015385866165, 0.09013903886079788]}, {'sequence': 'send', 'labels': ['language', 'family', 'maidan'], 'scores': [0.129134863615036, 0.11933153122663498, 0.09238049387931824]}, {'sequence': 'colds', 'labels': ['language', 'gender', 'death'], 'scores': [0.11557245254516602, 0.11433549970388412, 0.0840991958975792]}, {'sequence': 'anguish', 'labels': ['protest', 'animal', 'language'], 'scores': [0.46134358644485474, 0.08410593867301941, 0.08029446005821228]}]"
636,703,Kateryna Kalytko,Ukrainian,"Вечірня шкільна екскурсія до друкарні:
лоскітний запах фарби й металу,
світло в цехах масне, 
ніби суп на ребрах,
ротаційні машини і лінотип, 
щойно протертий ганчіркою,
подзвін, з яким розсипається 
тіло тексту,
вкрадена матриця у кишені – літера S,
ніби знак нескінченності,
вони ж самі казали, що латинки
майже не використовують. 
Не віриться, але нас і справді 
хотіли навчити такої праці – 
робити вперту свинцеву кирилицю 
продовженням власних пальців,
складати шпальту актуальних новин
у ритмі, не швидшому за серцебиття набірниці.

Все забуваю спитати, чи й тебе 
писати вчили спершу чорнильною ручкою 
у зошитах з каліграфії,
котра з прописних літер давалась тобі найважче,
чи лишав ти на аркушах ляпки, аби потім
вони проступали крізь промокальний папір
силуетами, що наближаються зі снігового поля – 
і спершу незрозуміло, 
чужі прийшли чи свої.

Навички світу, який минає.

На іншій шкільній екскурсії ми побачили,
як влаштовано хлібзавод, і випадково –
як черстві, аж кам'яні буханці перемелюють,
як сухарне борошно досипають до чистого.
Авжеж, дев'яності, нікому не було діла
до космогонії українського тіста,
до нашої кризи довіри.

І тепер, щоранку, коли 
чужі й свої з усього світу 
питають: ""Ну як там? Уже почалося?"" – чую 
непідробну цікавість до репертуару
жайворонків у час,
поки кухар вивчає рецепт пирога, 
у якому їх запікатиме. 
Але на цій землі
жайворонки тільки гніздяться в житах
і співають над ними, злітаючи по спіралі,
не лягають ніколи начинкою 
у тісто чуже, котре не вміє й дихати.
Немає такої традиції. 

Пояснити можливо не все.
Коли ж намагаюся – 
складаю рядки по літері, 
як операторка лінотипу.
Розставляю слова як належить – дзеркально. 
Ніби все спочатку –
абетки свинцеве борошно.
Віддрукований аркуш гарячий, як свіжий хліб.
Та щоразу, щоразу лишається біла пляма,
і щоразу, щоразу хтось перепитує,
чорнильно проступаючи силуетом
крізь папір.

Думаю, справа у вкраденій літері.
Думаю, справді в ній.
Але я її загубила.","Вечірня шкільна екскурсія до друкарні: лоскітний запах фарби й металу, світло в цехах масне,  ніби суп на ребрах, ротаційні машини і лінотип,  щойно протертий ганчіркою, подзвін, з яким розсипається  тіло тексту, вкрадена матриця у кишені – літера S, ніби знак нескінченності, вони ж самі казали, що латинки майже не використовують.  Не віриться, але нас і справді  хотіли навчити такої праці –  робити вперту свинцеву кирилицю  продовженням власних пальців, складати шпальту актуальних новин у ритмі, не швидшому за серцебиття набірниці.  Все забуваю спитати, чи й тебе  писати вчили спершу чорнильною ручкою  у зошитах з каліграфії, котра з прописних літер давалась тобі найважче, чи лишав ти на аркушах ляпки, аби потім вони проступали крізь промокальний папір силуетами, що наближаються зі снігового поля –  і спершу незрозуміло,  чужі прийшли чи свої.  Навички світу, який минає.  На іншій шкільній екскурсії ми побачили, як влаштовано хлібзавод, і випадково – як черстві, аж кам'яні буханці перемелюють, як сухарне борошно досипають до чистого. Авжеж, дев'яності, нікому не було діла до космогонії українського тіста, до нашої кризи довіри.  І тепер, щоранку, коли  чужі й свої з усього світу  питають: ""Ну як там? Уже почалося?"" – чую  непідробну цікавість до репертуару жайворонків у час, поки кухар вивчає рецепт пирога,  у якому їх запікатиме.  Але на цій землі жайворонки тільки гніздяться в житах і співають над ними, злітаючи по спіралі, не лягають ніколи начинкою  у тісто чуже, котре не вміє й дихати. Немає такої традиції.   Пояснити можливо не все. Коли ж намагаюся –  складаю рядки по літері,  як операторка лінотипу. Розставляю слова як належить – дзеркально.  Ніби все спочатку – абетки свинцеве борошно. Віддрукований аркуш гарячий, як свіжий хліб. Та щоразу, щоразу лишається біла пляма, і щоразу, щоразу хтось перепитує, чорнильно проступаючи силуетом крізь папір.  Думаю, справа у вкраденій літері. Думаю, справді в ній. Але я її загубила.","{'school', 'nostalgia', 'printing', 'writing'}","[('хлібзавод', 0.4343), ('розставляю', 0.424), ('жайворонків', 0.4199), ('розсипається', 0.4012), ('незрозуміло', 0.3957)]","['хлібзавод', 'розставляю', 'жайворонків', 'розсипається', 'незрозуміло']","['bakery', 'I place', 'larks', 'crumbles', 'not clear']","[{'sequence': 'bakery', 'labels': ['maidan', 'gender', 'time'], 'scores': [0.25180378556251526, 0.1082204058766365, 0.09078552573919296]}, {'sequence': 'I place', 'labels': ['maidan', 'geography', 'time'], 'scores': [0.11244405806064606, 0.10010958462953568, 0.0957249328494072]}, {'sequence': 'larks', 'labels': ['animal', 'language', 'gender'], 'scores': [0.6862671971321106, 0.06969942152500153, 0.04797321557998657]}, {'sequence': 'crumbles', 'labels': ['time', 'maidan', 'life'], 'scores': [0.13534530997276306, 0.10975803434848785, 0.1062709167599678]}, {'sequence': 'not clear', 'labels': ['language', 'protest', 'maidan'], 'scores': [0.1875665783882141, 0.07568109780550003, 0.07473186403512955]}]"
637,704,Kateryna Kalytko,Ukrainian,"І цього достатньо:
є до кого гукати
крізь потеплілий вперше, тугий 
вечірній вітер. 
Є до кого
вираховувати відстань:
а що, коли 
ні залізниць, ні мостів,
що, коли пішки, уплав і 
знову по суші?
Скільки це днів чи тижнів?
Рахую, заплутуюся, засинаю. 

Час над нашими водами,
великими й прісними, сидить
із ножем у руці,
обличчя ночами розлущує, ніби 
мушлі-перлівниці, злиться:
така оманлива назва, щоразу
замість коштовності 
лезом стікає волога, 
між пальців тремтить драглиста ніщота,
боїться віку, солона. 
Але я обіймаю долонями
твоє лице у темряві, непомильно
зчитуючи шовкову твердість
перламутру, краденого 
в нічного рибалки. 

Віднаходження головного в таємному – 
скарифікація,
пароль, по-живому зашифрований
візерунком. 
Є в кого 
зазирати, холонучи від глибини.
Є об кого порізатися до кістки. 
І цього достатньо. 
Хай тепер приходять. Хай спробують
видирати мене з корінням –
я підважу 
всю землю.","І цього достатньо: є до кого гукати крізь потеплілий вперше, тугий  вечірній вітер.  Є до кого вираховувати відстань: а що, коли  ні залізниць, ні мостів, що, коли пішки, уплав і  знову по суші? Скільки це днів чи тижнів? Рахую, заплутуюся, засинаю.   Час над нашими водами, великими й прісними, сидить із ножем у руці, обличчя ночами розлущує, ніби  мушлі-перлівниці, злиться: така оманлива назва, щоразу замість коштовності  лезом стікає волога,  між пальців тремтить драглиста ніщота, боїться віку, солона.  Але я обіймаю долонями твоє лице у темряві, непомильно зчитуючи шовкову твердість перламутру, краденого  в нічного рибалки.   Віднаходження головного в таємному –  скарифікація, пароль, по-живому зашифрований візерунком.  Є в кого  зазирати, холонучи від глибини. Є об кого порізатися до кістки.  І цього достатньо.  Хай тепер приходять. Хай спробують видирати мене з корінням – я підважу  всю землю.","{'night', 'secrets', 'time', 'distance'}","[('розлущує', 0.4002), ('скарифікація', 0.3906), ('твердість', 0.3102), ('залізниць', 0.2912), ('обіймаю', 0.2905)]","['розлущує', 'скарифікація', 'твердість', 'залізниць', 'обіймаю']","['exfoliates', 'scarification', 'hardness', 'railways', 'hug']","[{'sequence': 'exfoliates', 'labels': ['time', 'maidan', 'nature'], 'scores': [0.12955056130886078, 0.12475284934043884, 0.09972787648439407]}, {'sequence': 'scarification', 'labels': ['death', 'time', 'language'], 'scores': [0.16842606663703918, 0.12187710404396057, 0.0957757905125618]}, {'sequence': 'hardness', 'labels': ['maidan', 'protest', 'nation'], 'scores': [0.13258306682109833, 0.08638245612382889, 0.0848202258348465]}, {'sequence': 'railways', 'labels': ['maidan', 'time', 'nation'], 'scores': [0.21364514529705048, 0.13308313488960266, 0.09806448966264725]}, {'sequence': 'hug', 'labels': ['family', 'love', 'gender'], 'scores': [0.29659605026245117, 0.2673042416572571, 0.059715110808610916]}]"
638,705,Maria Galina,Russian,"Но есть и хорошее.
Обоняние вернулось.
Остальное все очень странно, конечно","Но есть и хорошее. Обоняние вернулось. Остальное все очень странно, конечно","{'smell', 'covid', 'poetic form'}","[('хорошее', 0.4319), ('остальное', 0.4215), ('вернулось', 0.3457), ('обоняние', 0.3077), ('конечно', 0.2832)]","['хорошее', 'остальное', 'вернулось', 'обоняние', 'конечно']","['good', 'rest', 'returned', 'sense of smell', 'Certainly']","[{'sequence': 'good', 'labels': ['maidan', 'family', 'time'], 'scores': [0.1362832635641098, 0.12427055090665817, 0.07792983949184418]}, {'sequence': 'rest', 'labels': ['time', 'family', 'maidan'], 'scores': [0.34950393438339233, 0.09270751476287842, 0.07582741230726242]}, {'sequence': 'returned', 'labels': ['family', 'time', 'maidan'], 'scores': [0.14460067451000214, 0.11642779409885406, 0.10173508524894714]}, {'sequence': 'sense of smell', 'labels': ['maidan', 'animal', 'family'], 'scores': [0.184246227145195, 0.10593956708908081, 0.07819774746894836]}, {'sequence': 'Certainly', 'labels': ['maidan', 'life', 'family'], 'scores': [0.14990095794200897, 0.10863316059112549, 0.0780801773071289]}]"
639,706,Dmitry Strotsev,Russian,"*
Ксише Ангеловой
сделай
твоим голосом
хоть меня
пожалей
истощенных жен
мужей
на полки
разделенных
забери у войны
позови
царских детей
домой
в царство
неутолимо родным
голосом
моей
мамы
22.01.2017
*
это царство 
тянется в окна ветками 
весеннего поющего и цветущего 
сада 
проникает 
в человеческое жилье 
букетами летних цветов и охапками 
осенних пестрых листьев 
длит 
о себе память 
вином и плодами 
посреди зимы и запустения 
и счастлив поэт 
если видит мать 
под ветвями царства и лета 
окруженную играющими детьми 
и понимает себя 
одним 
из них 
13.06.2020",* Ксише Ангеловой сделай твоим голосом хоть меня пожалей истощенных жен мужей на полки разделенных забери у войны позови царских детей домой в царство неутолимо родным голосом моей мамы 22.01.2017 * это царство  тянется в окна ветками  весеннего поющего и цветущего  сада  проникает  в человеческое жилье  букетами летних цветов и охапками  осенних пестрых листьев  длит  о себе память  вином и плодами  посреди зимы и запустения  и счастлив поэт  если видит мать  под ветвями царства и лета  окруженную играющими детьми  и понимает себя  одним  из них  13.06.2020,"{'royalty', 'childhood', 'ksisha angelova', 'war'}","[('счастлив', 0.3183), ('окруженную', 0.2834), ('твоим', 0.2416), ('пестрых', 0.2048), ('ветвями', 0.1953)]","['счастлив', 'окруженную', 'твоим', 'пестрых', 'ветвями']","['happy', 'surrounded', 'yours', 'motley', 'branches']","[{'sequence': 'happy', 'labels': ['family', 'maidan', 'nation'], 'scores': [0.1419079303741455, 0.1321963518857956, 0.09510079026222229]}, {'sequence': 'surrounded', 'labels': ['geography', 'maidan', 'family'], 'scores': [0.11443636566400528, 0.1052071824669838, 0.09782684594392776]}, {'sequence': 'yours', 'labels': ['gender', 'family', 'nation'], 'scores': [0.3529314398765564, 0.1943797767162323, 0.08752801269292831]}, {'sequence': 'motley', 'labels': ['animal', 'time', 'nature'], 'scores': [0.31925320625305176, 0.14134320616722107, 0.09780444204807281]}, {'sequence': 'branches', 'labels': ['family', 'maidan', 'language'], 'scores': [0.48316529393196106, 0.09003280103206635, 0.066363126039505]}]"
