,ID,poem_author,language,original_poem,light_clean_poem,theme,keywords,keywords_ori,keywords_eng
834,980,Kateryna Kalytko,Ukrainian,"Любити серед війни – це,
попри все, носити сережки,
аби не позаростали вуха,
які ви з бабусею ходили проколювати
до старої цирульні. 
Циганська голка встромляється 
в рожеву дитячу плоть, іще 
нічим не травмовану. 
Звук, із яким вона повільно
продирається наскрізь,
надто тихий, аби назватися
хрускотом або тріском,
але він є.
– Чому вона не плаче? – перукарка 
озирається на бабусю.
– Вона не плакатиме, –
відповідає бабуся.
#еней_не_озирається","Любити серед війни – це, попри все, носити сережки, аби не позаростали вуха, які ви з бабусею ходили проколювати до старої цирульні.  Циганська голка встромляється  в рожеву дитячу плоть, іще  нічим не травмовану.  Звук, із яким вона повільно продирається наскрізь, надто тихий, аби назватися хрускотом або тріском, але він є. – Чому вона не плаче? – перукарка  озирається на бабусю. – Вона не плакатиме, – відповідає бабуся. ","{'family', 'sadness', 'tears', 'war', 'love', 'pain', 'earrings'}","[('наскрізь', 0.2932), ('бабусею', 0.2622), ('продирається', 0.2373), ('плакатиме', 0.2333), ('бабусю', 0.2241)]","['наскрізь', 'бабусею', 'продирається', 'плакатиме', 'бабусю']","['through', 'grandmother', 'breaking through', 'will cry', 'grandmother']"
835,981,Kateryna Kalytko,Ukrainian,"Любити серед війни – це,
попри все, носити сережки,
аби не позаростали вуха,
які ви з бабусею ходили проколювати
до старої цирульні. 

Циганська голка встромляється 
в рожеву дитячу плоть, іще 
нічим не травмовану. 
Звук, із яким вона повільно
продирається наскрізь,
надто тихий, аби назватися
хрускотом або тріском,
але він є.

– Чому вона не плаче? – перукарка 
озирається на бабусю.
– Вона не плакатиме, –
відповідає бабуся.
#еней_не_озирається","Любити серед війни – це, попри все, носити сережки, аби не позаростали вуха, які ви з бабусею ходили проколювати до старої цирульні.   Циганська голка встромляється  в рожеву дитячу плоть, іще  нічим не травмовану.  Звук, із яким вона повільно продирається наскрізь, надто тихий, аби назватися хрускотом або тріском, але він є.  – Чому вона не плаче? – перукарка  озирається на бабусю. – Вона не плакатиме, – відповідає бабуся. ","{'women', 'family', 'war', 'love', 'childhood'}","[('наскрізь', 0.2932), ('бабусею', 0.2622), ('продирається', 0.2373), ('плакатиме', 0.2333), ('бабусю', 0.2241)]","['наскрізь', 'бабусею', 'продирається', 'плакатиме', 'бабусю']","['through', 'grandmother', 'breaking through', 'will cry', 'grandmother']"
852,1001,Kateryna Kalytko,Ukrainian,"Приїздив до мене вчора із фронту братик.
Каже: ми щодня прокидаємось помирати,
завантажуємо в себе війну з оновленнями програми, 
впізнаємо за позивними своїх, 
їхніх – за номерами.
Я сказав би, що не боїмося, але брехати – тупо.
Ми підводимось і йдемо, переступаючи трупи. 
Ми багато втратили і до всього тепер готові.
Але зовсім інакше небо там, де ходить отой твій –
він палає, і синє скло вкривається сажею.
Я вже часто й не розумію, про що він каже,
і чому так затято чіпляється за периметр, 
і до кого його притуляють нічні вітри. 
Ти й сама, коли злишся, не хочеш за нього молитися.
Ти тамуєш у грудях дзвін іще від пізнього літа.
Пам'ятаєш, пірнала у річку перед грозою – 
геть від світу, де все так змінюється, так прозóріє, 
де вся правда по тóбі червоним шитвом проступає.
Всі розмови тепер скупі, ніби блокадні пáйки, 
ніч розчахується, як долина смертної тіні.
Чути вибухи. Чути, як говорить каміння.
Чим цю мову каміння переговорити?
Іменами, які ламають серцеві ритми,
пташим трепетом відданості, що рветься 
в провалля віконні,
впертим гулом землі, що не відпускає корені. 
Повертайся, братику, здіймай до сонця обличчя,
будь край нього, коли шукає себе й калічить,
коли злиться, тішиться і опирається нищенню.
Я любитиму. 
І від цього 
смертельніше і чесніше.
#еней_не_озирається","Приїздив до мене вчора із фронту братик. Каже: ми щодня прокидаємось помирати, завантажуємо в себе війну з оновленнями програми,  впізнаємо за позивними своїх,  їхніх – за номерами. Я сказав би, що не боїмося, але брехати – тупо. Ми підводимось і йдемо, переступаючи трупи.  Ми багато втратили і до всього тепер готові. Але зовсім інакше небо там, де ходить отой твій – він палає, і синє скло вкривається сажею. Я вже часто й не розумію, про що він каже, і чому так затято чіпляється за периметр,  і до кого його притуляють нічні вітри.  Ти й сама, коли злишся, не хочеш за нього молитися. Ти тамуєш у грудях дзвін іще від пізнього літа. Пам'ятаєш, пірнала у річку перед грозою –  геть від світу, де все так змінюється, так прозóріє,  де вся правда по тóбі червоним шитвом проступає. Всі розмови тепер скупі, ніби блокадні пáйки,  ніч розчахується, як долина смертної тіні. Чути вибухи. Чути, як говорить каміння. Чим цю мову каміння переговорити? Іменами, які ламають серцеві ритми, пташим трепетом відданості, що рветься  в провалля віконні, впертим гулом землі, що не відпускає корені.  Повертайся, братику, здіймай до сонця обличчя, будь край нього, коли шукає себе й калічить, коли злиться, тішиться і опирається нищенню. Я любитиму.  І від цього  смертельніше і чесніше. ","{'religion', 'family', 'war', 'love', 'seasons'}","[('впізнаємо', 0.5138), ('переступаючи', 0.3943), ('завантажуємо', 0.3664), ('прокидаємось', 0.3535), ('смертельніше', 0.325)]","['впізнаємо', 'переступаючи', 'завантажуємо', 'прокидаємось', 'смертельніше']","['recognize', 'stepping over', 'loading', 'we wake up', 'more deadly']"
859,1012,Julia Fedorczuk,Ukrainian,"Я не знаю, чи буду я після війни та перемоги ще поеткою та перекладачкою (мені здається, що ні), але багато речей, зроблених на Gaude Polonia і трохи після - опинилися в ніде. Згадала вірш Юлії Федорчук Julia Fiedorczuk, тексти якої, поміж іншим, я перекладала на стипендії. Він мені співзвучний із сьогоденням:
Псалом IV
сорок один рік людського життя без війни
чи одного тіла вистачить
(вижили після зими поганої звістки канікул)
(вижили після весни поганої звістки 2500 потопельників)
ось люди твої
і люди не-твої
(вижили у містах браунколя в містах без глютену)
ми сподіваємся жити
тривалість життя збільшилась вдвічі й далі зростає
(вижили в упорядкованих нами дивах природи)
не бійся
(під дощем і у пікселі й в лабіринті штучного голоду)
не бійся донечко
кількість наших експертів і далі множиться
а ти сподівайся жити
більше і більше жити
(у червоній пустелі під високою лазуровою хвилею)
не бійся
моя не-моя донечко
на пасовиськах зелених
моя не-моя донечко
там тихо там їжі немає кінця
(вижили після зими весни недоброї звістки канікул)
ось люди твої ось люди не –
(переклад із польської)","Я не знаю, чи буду я після війни та перемоги ще поеткою та перекладачкою , але багато речей, зроблених на Gaude Polonia і трохи після - опинилися в ніде. Згадала вірш Юлії Федорчук Julia Fiedorczuk, тексти якої, поміж іншим, я перекладала на стипендії. Він мені співзвучний із сьогоденням: Псалом IV сорок один рік людського життя без війни чи одного тіла вистачить  ось люди твої і люди не-твої  не бійся моя не-моя донечко на пасовиськах зелених моя не-моя донечко там тихо там їжі немає кінця  ось люди твої ось люди не – ","{'psalm', 'religion', 'hunger', 'water', 'drowning', 'war', 'death', 'prayer'}","[('перекладачкою', 0.4432), ('сьогоденням', 0.4251), ('співзвучний', 0.3969), ('стипендії', 0.3738), ('вірш', 0.2709)]","['перекладачкою', 'сьогоденням', 'співзвучний', 'стипендії', 'вірш']","['a translator', 'the present', 'consonant', 'scholarships', 'verse']"
867,1023,Ostap Slyvynsky,Ukrainian,"#словниквійни - це про те, як війна змінює значення звичних нам слів. Долучайтеся своїми історіями.
ВЕСІЛЛЯ
(Віка, Маріуполь)
«Коли ми виривалися з Маріуполя, то їхали у довгій колоні машин. Десь попереду нас – карета швидкої. Їхали повільно, обережно, в машинах було багато дітей, хворих. І майже в кожної машини на дзеркальцях, на дверних ручках, на багажниках на даху були пов’язані білі стрічки. Як на весіллі! Так, усе це нагадувало довгий весільний кортеж. Тільки ні наречених не було, ні музики. Навіть слів не було».
КАЛЕНДАР 
(Лариса, Київ)
«Давно зникли вихідні та свята, але те, коли починалася субота, чи коли починався понеділок, чи на який день тижня припадає мій день народження, чи на який день розплановані важливі події, я знала. Навіть у відпустці я легко говорила близьким: сьогодні середа. Я не пам’ятаю, яким днем тижня було 24 лютого, і сьогодні не знаю, який день тижня. Це густий ядучий часопростір, який має свої особливості, який можна рахувати днями війни, комендантськими годинами, денними та нічними повітряними тривогами, але він не розкладається на календарні дні тижня». 
ТІСТО
(дві жінки, Житомирщина)
« – Хотіла похудать до літа, а тут хоть би вижить. Коли повітряна тривога – зразу хочеться їсти.
– Я так тісто місила. Літають самольоти, мені мама звонить: біжи в подвал! А я кажу, не можу, в мене тісто».
ТІЛО
(Софія, Львів)
«Людина ж найбільше думає про своє тіло, коли воно болить, правда? Найкраще його відчуває. Я ніколи не думала, що буду відчувати свою країну, як тіло. Йду до магазину, підходжу до дверей, натискаю на клямку, і мені здається, що їй боляче. Десь за сотні кілометрів – відкриті рани, а тут усе болить»."," - це про те, як війна змінює значення звичних нам слів. Долучайтеся своїми історіями. ВЕСІЛЛЯ  «Коли ми виривалися з Маріуполя, то їхали у довгій колоні машин. Десь попереду нас – карета швидкої. Їхали повільно, обережно, в машинах було багато дітей, хворих. І майже в кожної машини на дзеркальцях, на дверних ручках, на багажниках на даху були пов’язані білі стрічки. Як на весіллі! Так, усе це нагадувало довгий весільний кортеж. Тільки ні наречених не було, ні музики. Навіть слів не було». КАЛЕНДАР   «Давно зникли вихідні та свята, але те, коли починалася субота, чи коли починався понеділок, чи на який день тижня припадає мій день народження, чи на який день розплановані важливі події, я знала. Навіть у відпустці я легко говорила близьким: сьогодні середа. Я не пам’ятаю, яким днем тижня було 24 лютого, і сьогодні не знаю, який день тижня. Це густий ядучий часопростір, який має свої особливості, який можна рахувати днями війни, комендантськими годинами, денними та нічними повітряними тривогами, але він не розкладається на календарні дні тижня».  ТІСТО  « – Хотіла похудать до літа, а тут хоть би вижить. Коли повітряна тривога – зразу хочеться їсти. – Я так тісто місила. Літають самольоти, мені мама звонить: біжи в подвал! А я кажу, не можу, в мене тісто». ТІЛО  «Людина ж найбільше думає про своє тіло, коли воно болить, правда? Найкраще його відчуває. Я ніколи не думала, що буду відчувати свою країну, як тіло. Йду до магазину, підходжу до дверей, натискаю на клямку, і мені здається, що їй боляче. Десь за сотні кілометрів – відкриті рани, а тут усе болить».","{'war', 'war dictionary', 'poetic form'}","[('часопростір', 0.3512), ('понеділок', 0.3327), ('найкраще', 0.2797), ('хочеться', 0.2777), ('долучайтеся', 0.266)]","['часопростір', 'понеділок', 'найкраще', 'хочеться', 'долучайтеся']","['space time', 'Monday', 'best', 'want to', 'join in']"
873,1032,Iryna Shuvalova,Ukrainian,"писати про війну

1.
немає жодної мови в яку це можна вмістити

писати про війну це як ковтати
колючий дріт повільно
за сантиметром сантиметр

обіймати вві сні протитанкового їжака
голими руками й ногами

металеві слова наполегливо вгвинчувати 
в роздроблені кості ранку

вилущувати зі слів як із гільз
смерть чорну сочевицю 
біль свинцевий горох

пити з калюж
то оглушливий гуркіт
то густу червону тишу
.
2
.
пхаєш усюди мову як брудного пальця в рану
аби пересвідчуватись і свідчити

так свідчить про воду розбита карафа так
свідчить поламаний радіоприймач
про таїнство електромагнетизму

реальність скипає червоним молоком
збігає 
лишає на плиті темні сліди

порожня каструля поетового рота
безпомічно сичить шкварчить
береться чорною кіркою
.
3
.
мова тут сягає своєї межі за якою вона
хрип крик булькання белькотіння 
оббілований птаством скелет
риштування навколо розбомбленого театру

дивися мова стоїть порожня як будинок
звідки всіх вивели і постріляли

дивися мої слова спритні як милиці 
що крокують самі собою 

дивися
вони ще й танцюють
.
4
.
говори
не говори
кричи не кричи поете

смерть усе одно не чує

глуха від вибухів на обидва вуха
сліпа на обидва вибитих шрапнеллю ока
вона сунеться містом навпомацки
як гомерів циклоп 
обмацуючи нас по дорозі 
холодними вогкими руками

її велике втомлене тіло
пахне вогнем і металом

і кожен із нас
перед нею
ніхто
.
5
.
кожен поет 
випускник школи безсилля
що не засвоїв жодного уроку

свідомі хиткості свого човна 
що набираючися мовчання
просідає дедалі глибше

стоячи на ньому ми вимахуємо
своєю мовою неначе патерицею

сподіваючися розділити
це море відчаю надвоє

перейти його дном
як суходолом

на інший берег війни
.
6
.
боже ти добре знаєш 
на дві справи тільки годиться поетів язик

співати на смерть 
і на перемогу

то дай же нам боже
язики залізні щоби ними 

ми вилизали начисто
цей асфальт

не лишивши і сліду ворога
не лишивши і плями крові

і тільки оминувши тріщинку з якої
вже вперто пнеться
товсте зелене стебло
---------------------------
#шуваловірші
Image: Hieronymus Bosch - The Temptation of St. Anthony (fragment) c. 1500–10. Oil on panel (oak) The Nelson-Atkins Museum of Art, Kansas City, Missouri","писати про війну  1. немає жодної мови в яку це можна вмістити  писати про війну це як ковтати колючий дріт повільно за сантиметром сантиметр  обіймати вві сні протитанкового їжака голими руками й ногами  металеві слова наполегливо вгвинчувати  в роздроблені кості ранку  вилущувати зі слів як із гільз смерть чорну сочевицю  біль свинцевий горох  пити з калюж то оглушливий гуркіт то густу червону тишу . 2 . пхаєш усюди мову як брудного пальця в рану аби пересвідчуватись і свідчити  так свідчить про воду розбита карафа так свідчить поламаний радіоприймач про таїнство електромагнетизму  реальність скипає червоним молоком збігає  лишає на плиті темні сліди  порожня каструля поетового рота безпомічно сичить шкварчить береться чорною кіркою . 3 . мова тут сягає своєї межі за якою вона хрип крик булькання белькотіння  оббілований птаством скелет риштування навколо розбомбленого театру  дивися мова стоїть порожня як будинок звідки всіх вивели і постріляли  дивися мої слова спритні як милиці  що крокують самі собою   дивися вони ще й танцюють . 4 . говори не говори кричи не кричи поете  смерть усе одно не чує  глуха від вибухів на обидва вуха сліпа на обидва вибитих шрапнеллю ока вона сунеться містом навпомацки як гомерів циклоп  обмацуючи нас по дорозі  холодними вогкими руками  її велике втомлене тіло пахне вогнем і металом  і кожен із нас перед нею ніхто . 5 . кожен поет  випускник школи безсилля що не засвоїв жодного уроку  свідомі хиткості свого човна  що набираючися мовчання просідає дедалі глибше  стоячи на ньому ми вимахуємо своєю мовою неначе патерицею  сподіваючися розділити це море відчаю надвоє  перейти його дном як суходолом  на інший берег війни . 6 . боже ти добре знаєш  на дві справи тільки годиться поетів язик  співати на смерть  і на перемогу  то дай же нам боже язики залізні щоби ними   ми вилизали начисто цей асфальт  не лишивши і сліду ворога не лишивши і плями крові  і тільки оминувши тріщинку з якої вже вперто пнеться товсте зелене стебло ---------------------------  Image: Hieronymus Bosch - The Temptation of St. Anthony  c. 1500–10. Oil on panel  The Nelson-Atkins Museum of Art, Kansas City, Missouri","{'poetry', 'helplessness', 'war'}","[('електромагнетизму', 0.4361), ('пересвідчуватись', 0.3987), ('радіоприймач', 0.3623), ('наполегливо', 0.3275), ('розбомбленого', 0.3233)]","['електромагнетизму', 'пересвідчуватись', 'радіоприймач', 'наполегливо', 'розбомбленого']","['electromagnetism', 'make sure', 'radio', 'hard', 'bombed out']"
874,1034,Kateryna Kalytko,Ukrainian,"Вранці я уявляю, як свіжі вирви ракетні,
ніби отвори на сопілці, міняють звучання вулиці.
Во время люте сталося слово таке,
об яке розкололось минуле.
Ніхто з нас не перший, ми мовчали його,
знаючи, як багато воно підважить і зрушить,
ніби дрібні котенята, притоплені гордістю, 
небезпечним вогнем поціловані в душу. 
Невже нам знову впускати у жили пекло, 
трудити хребти під вагою великої віри?
Але тепер, коли усе – небезпека,
я би тебе вкривала власною шкірою.
Такий собі, – думаєш, – спосіб, аби пояснити ніжність,
ніби хочеш віддати зимову куртку.
І слово, від якого тікали раніше,
питає докірливо, пощо і ким закуте.
Але відчуваю, як темінь в тобі росте.
То хай це буде моєю отрутою теж.
Якщо потрібно, я її донесу
туди, де небо важке, як останній суд,
де ґрунт пам'ятає наші вбиті міста,
де й нам дивитися, сліпнути, пам'ятати,
в подвір’я зносити мертвих, як поснулих дітей. 
Хай твоя отрута буде моєю теж.
Хай жити з нею важче, ніж просто зараз померти.
Слово, якого не мовлено,
впоралося саме.
#еней_не_озирається","Вранці я уявляю, як свіжі вирви ракетні, ніби отвори на сопілці, міняють звучання вулиці. Во время люте сталося слово таке, об яке розкололось минуле. Ніхто з нас не перший, ми мовчали його, знаючи, як багато воно підважить і зрушить, ніби дрібні котенята, притоплені гордістю,  небезпечним вогнем поціловані в душу.  Невже нам знову впускати у жили пекло,  трудити хребти під вагою великої віри? Але тепер, коли усе – небезпека, я би тебе вкривала власною шкірою. Такий собі, – думаєш, – спосіб, аби пояснити ніжність, ніби хочеш віддати зимову куртку. І слово, від якого тікали раніше, питає докірливо, пощо і ким закуте. Але відчуваю, як темінь в тобі росте. То хай це буде моєю отрутою теж. Якщо потрібно, я її донесу туди, де небо важке, як останній суд, де ґрунт пам'ятає наші вбиті міста, де й нам дивитися, сліпнути, пам'ятати, в подвір’я зносити мертвих, як поснулих дітей.  Хай твоя отрута буде моєю теж. Хай жити з нею важче, ніж просто зараз померти. Слово, якого не мовлено, впоралося саме. ","{'jacket', 'clothing', 'religion', 'war', 'seasons'}","[('розкололось', 0.4105), ('уявляю', 0.3321), ('думаєш', 0.3259), ('небезпечним', 0.3238), ('небезпека', 0.3135)]","['розкололось', 'уявляю', 'думаєш', 'небезпечним', 'небезпека']","['split', 'imagine', 'you think', 'dangerous', 'danger']"
879,1041,Halyna Kruk,Ukrainian,"#не_вірші
ви нічого поганого про мене не подумайте, 
я не буду на них наступати, хтось у Львові 
має граблі, щоб позичити ненадовго?
на зиму я лишила квіти на клумбі під листям,
тепер оте листя треба прибрати, а нема чим.
нині довелося біля тої клумби давати інтерв'ю
грузинському телебаченню, то мені було дуже соромно
я розумію, війна, я розумію, всяке може далі бути,
але позичте граблі. мені не щоб наступати,
мені щоб квіти бачили куди їм рости
поміж повітряними тривогами"," ви нічого поганого про мене не подумайте,  я не буду на них наступати, хтось у Львові  має граблі, щоб позичити ненадовго? на зиму я лишила квіти на клумбі під листям, тепер оте листя треба прибрати, а нема чим. нині довелося біля тої клумби давати інтерв'ю грузинському телебаченню, то мені було дуже соромно я розумію, війна, я розумію, всяке може далі бути, але позичте граблі. мені не щоб наступати, мені щоб квіти бачили куди їм рости поміж повітряними тривогами","{'war', 'georgia', 'soil'}","[('телебаченню', 0.2739), ('грузинському', 0.2398), ('наступати', 0.1996), ('розумію', 0.1992), ('інтерв', 0.194)]","['телебаченню', 'грузинському', 'наступати', 'розумію', 'інтерв']","['television', 'Georgian', 'perform', 'I understand', 'interview']"
883,1047,Kateryna Kalytko,Ukrainian,"Що є жіноча пам’ять на великій війні?
Шемаг закривавлений, з яким стоїть Вероніка
на шостій зупинці понад Шляхом Скорботи.
Дай мені втерти лице тобі. Дай мені опік дотику.
Я вже і твого імені не згадую просто, всує.
Може, драматизую. Може, сакралізую.
Пам'ять буде різною. Жіноча – бездонна, люта.
У первісній її темряві ходитиме мертвий люд.
Чоловіча – чіткіша, 
тваринніша і фатальніша. 
Звуки. Списки. Подробиці. Запах. Тілá. Містá.
Пам'ять буде подібною. Довгі дороги. Вітри.
Номери потерті. Стрімкий, як лавина, крик.
Вміння триматися ґрунту, мов польовий пирій.
Падати – й хóда. 
Дивитися, як вгорі
зачинається буря, розтрощує кожну тишу.
Дай мені в серці вихора послухати, як ти дишеш.
Все назавжди змінилося. Подивися на мене.
Вітер підхопить шемаг мій, як полкове знамено.
#еней_не_озирається","Що є жіноча пам’ять на великій війні? Шемаг закривавлений, з яким стоїть Вероніка на шостій зупинці понад Шляхом Скорботи. Дай мені втерти лице тобі. Дай мені опік дотику. Я вже і твого імені не згадую просто, всує. Може, драматизую. Може, сакралізую. Пам'ять буде різною. Жіноча – бездонна, люта. У первісній її темряві ходитиме мертвий люд. Чоловіча – чіткіша,  тваринніша і фатальніша.  Звуки. Списки. Подробиці. Запах. Тілá. Містá. Пам'ять буде подібною. Довгі дороги. Вітри. Номери потерті. Стрімкий, як лавина, крик. Вміння триматися ґрунту, мов польовий пирій. Падати – й хóда.  Дивитися, як вгорі зачинається буря, розтрощує кожну тишу. Дай мені в серці вихора послухати, як ти дишеш. Все назавжди змінилося. Подивися на мене. Вітер підхопить шемаг мій, як полкове знамено. ","{'time', 'memory', 'war', 'women'}","[('послухати', 0.3201), ('сакралізую', 0.315), ('розтрощує', 0.3133), ('жіноча', 0.3083), ('первісній', 0.3044)]","['послухати', 'сакралізую', 'розтрощує', 'жіноча', 'первісній']","['to listen', 'sacralize', 'crushes', 'female', 'original']"
888,1055,Iryna Shuvalova,Ukrainian,"**міста немає** (для 💜 )

радість моя місто яке ми торік 
обходúли вздовж і впоперек де трималися 
за руки лежачи під непевними
зірками де боялися одна одної
торкнутись але загорялися водночас
таким ясним таким гарячим вогнем
що на стінах будинків танцювали тіні
цього міста більше немає радість моя

є тільки його скалічений двійник
який несе своє поторочене покручене тіло
обережно немов скляне

є тільки відлуння пісні 
а пісні немає бо співця накрило 
такою важкою чорною повстю
що крізь неї не роздивитися 

ані непевних зірок ані рожевих місяців
ані зелених бань церков ані рудих дахів 
під якими танцювали
літніми ночами наші залюблені тіні
радість моя

і тепер коли нас
ось так розкидало світами коли
довкола нашого міста горять дороги
а в груди йому як у велетенський бубон
раз у раз вдаряють 
металеві долоні снарядів

я певна що 
на безлюдних вулицях
на спорожнілих площах
наші тіні і досі танцюють 
досі тримаються за руки
досі обіймають 
великі тіла дерев

на брамі заборовського
вінценосне серце 
горить горить 
і не гасне

______________________
#шуваловірші
На фото: Брама Заборовського (Київ) - парадний в'їзд до резиденції київських митрополитів на території Софійського собору у Києві.",**міста немає** (для 💜 )  радість моя місто яке ми торік  обходúли вздовж і впоперек де трималися  за руки лежачи під непевними зірками де боялися одна одної торкнутись але загорялися водночас таким ясним таким гарячим вогнем що на стінах будинків танцювали тіні цього міста більше немає радість моя  є тільки його скалічений двійник який несе своє поторочене покручене тіло обережно немов скляне  є тільки відлуння пісні  а пісні немає бо співця накрило  такою важкою чорною повстю що крізь неї не роздивитися   ані непевних зірок ані рожевих місяців ані зелених бань церков ані рудих дахів  під якими танцювали літніми ночами наші залюблені тіні радість моя  і тепер коли нас ось так розкидало світами коли довкола нашого міста горять дороги а в груди йому як у велетенський бубон раз у раз вдаряють  металеві долоні снарядів  я певна що  на безлюдних вулицях на спорожнілих площах наші тіні і досі танцюють  досі тримаються за руки досі обіймають  великі тіла дерев  на брамі заборовського вінценосне серце  горить горить  і не гасне  ______________________  На фото: Брама Заборовського  - парадний в'їзд до резиденції київських митрополитів на території Софійського собору у Києві.,"{'home', 'memory', 'war', 'longing'}","[('______________________', 0.5063), ('роздивитися', 0.3914), ('покручене', 0.3465), ('поторочене', 0.3217), ('залюблені', 0.2968)]","['______________________', 'роздивитися', 'покручене', 'поторочене', 'залюблені']","[None, 'look around', 'twisted', 'shorter', 'in love']"
906,1080,Iryna Shuvalova,Ukrainian,"**історія спить і бачить сни**

коли моя баба
розповідала мені
про себе 
вісімнадцятирічну 
остарбайтерку в німеччині
її історії нагадували мені сни

у снах тих незнайомі люди
в незнайомому краї
везені здалеку товарняками як худоба
в‘язали з мотузків шкарпетки 
вішались у теплицях на німецьких фермах
їздили на велосипедах
закохувались

думаю що й їй
на час нашої розмови вже сімдесятирічній
здавалося
що все це їй наснилось

веселі військовополонені французи
рум‘яні подруги з буйними кучерями
яких вона по війні так більше ніколи й не бачила
яких охоче зжерла по тому
вічно голодна червона батьківщина

і тільки листівки
з рожевощокими буржуазними янголятами
підписані для анюти
свідчили про щось
кровоточили чорнилом
в дерев‘яні шухляди столів

нині мамина подруга
що днями вирвалася 
гумкоридором з-під броварів
розповідає

про жінку
що присмачила вечерю
російським воякам
щурячою отрутою
(вцілілі росіяни
зрівняли з землею десять хат)

про чоловіка розстріляного у власній машині
який так і лишився в ній сидіти
три дні

про те як зоставшися без їжі
люди харчувалися горіхами й медом
майже достоту як йоан предтеча у пустелі

її історії нагадують мені сни

спільне нічне жахіття
від якого годі прокинутися
в глибині якого
соваються неспокійно імперії
пожирають як і годиться міфічним потворам 
власних дітей

у цьому сні
як у густому тумані
блукаємо всі поруч

моя покійна бабця
її кучеряві подруги 
німецькі фермери
рум’яні волоокі янголи
розстріляний під броварами чоловік
жінка зі слоїком щурячої отрути
витрішкуваті російські новобранці
з посинілими язиками
і той ще зовсім юний 
племінник маминої подруги
якого убило в середу
в теробороні

зачіпаємо одне одного ліктями
обмінюємося невидющими поглядами

слухняно їмо 
ложка за ложкою
густу
гірку
пітьму

-------------------------
#шуваловірші
Image: Francisco de Goya - El sueño de la razón produce monstruos (c. 1799)",**історія спить і бачить сни**  коли моя баба розповідала мені про себе  вісімнадцятирічну  остарбайтерку в німеччині її історії нагадували мені сни  у снах тих незнайомі люди в незнайомому краї везені здалеку товарняками як худоба в‘язали з мотузків шкарпетки  вішались у теплицях на німецьких фермах їздили на велосипедах закохувались  думаю що й їй на час нашої розмови вже сімдесятирічній здавалося що все це їй наснилось  веселі військовополонені французи рум‘яні подруги з буйними кучерями яких вона по війні так більше ніколи й не бачила яких охоче зжерла по тому вічно голодна червона батьківщина  і тільки листівки з рожевощокими буржуазними янголятами підписані для анюти свідчили про щось кровоточили чорнилом в дерев‘яні шухляди столів  нині мамина подруга що днями вирвалася  гумкоридором з-під броварів розповідає  про жінку що присмачила вечерю російським воякам щурячою отрутою   про чоловіка розстріляного у власній машині який так і лишився в ній сидіти три дні  про те як зоставшися без їжі люди харчувалися горіхами й медом майже достоту як йоан предтеча у пустелі  її історії нагадують мені сни  спільне нічне жахіття від якого годі прокинутися в глибині якого соваються неспокійно імперії пожирають як і годиться міфічним потворам  власних дітей  у цьому сні як у густому тумані блукаємо всі поруч  моя покійна бабця її кучеряві подруги  німецькі фермери рум’яні волоокі янголи розстріляний під броварами чоловік жінка зі слоїком щурячої отрути витрішкуваті російські новобранці з посинілими язиками і той ще зовсім юний  племінник маминої подруги якого убило в середу в теробороні  зачіпаємо одне одного ліктями обмінюємося невидющими поглядами  слухняно їмо  ложка за ложкою густу гірку пітьму  -------------------------  Image: Francisco de Goya - El sueño de la razón produce monstruos ,"{'survival', 'world war ii', 'ekphrasis', 'history', 'war', 'dreams'}","[('вісімнадцятирічну', 0.5223), ('розстріляного', 0.4369), ('розстріляний', 0.4366), ('витрішкуваті', 0.4295), ('сімдесятирічній', 0.4077)]","['вісімнадцятирічну', 'розстріляного', 'розстріляний', 'витрішкуваті', 'сімдесятирічній']","['eighteen years old', 'shot', 'shot', 'gutted', 'seventy years old']"
