,ID,poem_author,language,original_poem,light_clean_poem,theme
245,257,Marianna Kijanowska,Ukrainian,"брами просто над нами
не сказати словами
ні ранку того ні рани
богдане богдане
лише прочанин 
засіє
поле Твоє 
Месіє
майбутнє цілком відчиниться
і навіть мале й піщане
одним з милосердь учиниться
ключ Божий богдан сольчаник
час обернеться тричі
ключ залишиться у замку
вітер повіє 
голос покличе
богдане! сольчанику!
настане година 
ключ
візьме як меч обіруч 
Месія
і засіЯ
кожне живе тепло
завше теплом було
впала сльоза на скло
і пропалила тло
небо і серце",брами просто над нами не сказати словами ні ранку того ні рани богдане богдане лише прочанин  засіє поле Твоє  Месіє майбутнє цілком відчиниться і навіть мале й піщане одним з милосердь учиниться ключ Божий богдан сольчаник час обернеться тричі ключ залишиться у замку вітер повіє  голос покличе богдане! сольчанику! настане година  ключ візьме як меч обіруч  Месія і засіЯ кожне живе тепло завше теплом було впала сльоза на скло і пропалила тло небо і серце,"{'heat', 'god', 'bohdan sochanik', 'messiah'}"
247,259,Marianna Kijanowska,Russian,"аз мужчина путинец
россиянец-леденец
в ленинграде аз возрос
потомуж не малоросс
прянык у меня в чести
янык у меня в горсти
а в цитате мандельштам
грубиянцам аз воздам
за коляску и за крем 
иностранцам шляпы съем
сбрею про себя усы
не взирая на часы
из ниоткуда в никуда
олимпи - ада - дада",аз мужчина путинец россиянец-леденец в ленинграде аз возрос потомуж не малоросс прянык у меня в чести янык у меня в горсти а в цитате мандельштам грубиянцам аз воздам за коляску и за крем  иностранцам шляпы съем сбрею про себя усы не взирая на часы из ниоткуда в никуда олимпи - ада - дада,"{'poetry', 'kremlin', 'putin', 'russia'}"
252,264,Arkadii Shtypel,Russian,"трішечки підредагував-осучаснив радянського класика:
""тож нехай собі як знають
божеволіють конають
на своє робить:
все гімно до 'дної ями
холуїв за холуями
будем будем бить
будем будем бить!""
","трішечки підредагував-осучаснив радянського класика: ""тож нехай собі як знають божеволіють конають на своє робить: все гімно до 'дної ями холуїв за холуями будем будем бить будем будем бить!"" ","{'soviet anthem', 'irony', 'soviet union', 'music'}"
255,267,Vasyl Makhno,Ukrainian,"Сніг із білого крижма

я одне пам’ятаю: що там був сніг
пам’ятаю: що снігу був цілий сніп 
і що кури котили яйце-райце –
і в повітрі висіла небесна брама
і накрали злодії цукерок і краму
-провінція тобто райцентр –

я одне пам’ятав: що повітря з драбин
виживати -два хліба і п’ять рибин -
щоб піймати попутку на трасі
заселяли повітря крамниці й купці
а сміливці брели по зимній ріці
тобто в часі й понад часом

я згадав що дорогою до Чернівець
приходили міняйли й місцевий купець:
чорний перець міняли за страву
розтирали замерзлий у пучках Чигор
і завели нарешті в машині мотор
що зимове повітря стравить

якщо б знати погоду від наших курей
і осліплого пса і місцевих дітей
над Джуринкою в лисячій шубі
я б мабуть здогадався: що краще тоді
перебути життя у зимній воді
й відігрітись при кахлевій грубі

я себе пригадав за слідами куниць
наче сніг в моїм роті цукор топивсь
я чекав на купців: обіцяли вернутись
привезуть карамель медівник пластівці
що вони вже дісталися до Чернівців
що купили для мене андрути

я одне пам’ятаю: що все там було:
переламане в курки праве крило
три купці що ночують щотижня
і крамниці з цукерками в річці – кисіль
рік почнеться з Різдва а життя із весіль
сніг – із білого крижма",Сніг із білого крижма  я одне пам’ятаю: що там був сніг пам’ятаю: що снігу був цілий сніп  і що кури котили яйце-райце – і в повітрі висіла небесна брама і накрали злодії цукерок і краму -провінція тобто райцентр –  я одне пам’ятав: що повітря з драбин виживати -два хліба і п’ять рибин - щоб піймати попутку на трасі заселяли повітря крамниці й купці а сміливці брели по зимній ріці тобто в часі й понад часом  я згадав що дорогою до Чернівець приходили міняйли й місцевий купець: чорний перець міняли за страву розтирали замерзлий у пучках Чигор і завели нарешті в машині мотор що зимове повітря стравить  якщо б знати погоду від наших курей і осліплого пса і місцевих дітей над Джуринкою в лисячій шубі я б мабуть здогадався: що краще тоді перебути життя у зимній воді й відігрітись при кахлевій грубі  я себе пригадав за слідами куниць наче сніг в моїм роті цукор топивсь я чекав на купців: обіцяли вернутись привезуть карамель медівник пластівці що вони вже дісталися до Чернівців що купили для мене андрути  я одне пам’ятаю: що все там було: переламане в курки праве крило три купці що ночують щотижня і крамниці з цукерками в річці – кисіль рік почнеться з Різдва а життя із весіль сніг – із білого крижма,{'snow'}
256,268,Boris Khersonsky,Russian,"Жгите, девочки, георгиевские ленты на Вечном огне.
Мойте, девочки, плиты героев разорванным флагом УПА.
Пламя возгорится ярче. Плиты будут чище.
И вы разойдетесь с обновленной и окрепшей
ненавистью друг к другу.","Жгите, девочки, георгиевские ленты на Вечном огне. Мойте, девочки, плиты героев разорванным флагом УПА. Пламя возгорится ярче. Плиты будут чище. И вы разойдетесь с обновленной и окрепшей ненавистью друг к другу.","{'upa', 'fire', 'st. george'}"
268,280,Oleksandr Irvanets,Ukrainian,"ПОНЕДІЛОК, 7 КВІТНЯ
***
Сьогодні нас москаль іще не з'їсть. 
Чи не у цьому й поляга Благая Вість?","ПОНЕДІЛОК, 7 КВІТНЯ *** Сьогодні нас москаль іще не з'їсть.  Чи не у цьому й поляга Благая Вість?","{'muscovite', 'russia'}"
269,281,Oleksandr Irvanets,Ukrainian,"ПЕРШЕ ВРАЖЕННЯ
***
У Києві шумить Книжковий Арсенал.
Хтось витрачає нал.
Комусь болить анал.",ПЕРШЕ ВРАЖЕННЯ *** У Києві шумить Книжковий Арсенал. Хтось витрачає нал. Комусь болить анал.,"{'obscenity', 'ukraine', 'maidan'}"
270,282,Oleksandr Irvanets,Ukrainian,"ВІВТОРОК, 8 КВІТНЯ
***
Слова мої! Летіть ушир і ввись:
- Росіє! Ну будь ласка, 
ВІДГРЕБИСЬ!","ВІВТОРОК, 8 КВІТНЯ *** Слова мої! Летіть ушир і ввись: - Росіє! Ну будь ласка,  ВІДГРЕБИСЬ!","{'obscenity', 'russia'}"
278,290,Oleksandr Irvanets,Ukrainian,"16 КВІТНЯ 
***
Знає професор і пролетар, 
Той, хто їсть шаурму, й хто жує шампіньйон: 
Грають сьогодні ""Динамо"" й ""Шахтар"", 
Але при цьому ""Дніпро"" - чемпіон!","16 КВІТНЯ  *** Знає професор і пролетар,  Той, хто їсть шаурму, й хто жує шампіньйон:  Грають сьогодні ""Динамо"" й ""Шахтар"",  Але при цьому ""Дніпро"" - чемпіон!","{'culture', 'ukraine'}"
282,294,Oleksandr Irvanets,Ukrainian,"ЗІ СТРІЧКИ НОВИН
***
""НАТО випустить у море бойових дельфінів."" 
Не зляка це ні слов'ян, ані угро-фінів.","ЗІ СТРІЧКИ НОВИН *** ""НАТО випустить у море бойових дельфінів.""  Не зляка це ні слов'ян, ані угро-фінів.","{'nato', 'europe'}"
298,310,Serhii Zhadan,Ukrainian,"Вона ходить собі на стадіони й ринки,
ховаючи в куртці телефон і флягу.
І я готовий палити сусідські будинки,
щоби вона звернула на мене увагу.
#жадан #zhadan","Вона ходить собі на стадіони й ринки, ховаючи в куртці телефон і флягу. І я готовий палити сусідські будинки, щоби вона звернула на мене увагу.  ","{'markets', 'woman', 'sex', 'sexuality', 'women', 'money'}"
311,323,Iryna Tsilyk,Ukrainian,"***
Перерахуй на п’ять касок і випий три шоти –
Ми так живем. Виживаєм, вірніше, тихцем.
Та не рятують кевларові майки і шорти
Від цього чорного літа з безоким лицем.
Run, Forrest, run. Ти ще можеш як мінімум бігти.
Втоптуй в асфальт ці даремні ненависть і страх,
Поки у мертвих військових волосся і нігті 
Вже проростають травою в донбаських степах.
Мчати на смерть, нагло віку собі вкоротити
Здатен не кожен. Ти здатен? – питання у лоб.
А на Майдані тепер продаються магніти,
Бій на Грушевського на холодильники щоб...
Знаєш, насправді, цукерки всі-всі без начинки,
І що не вибереш – втратиш ще більше, на жаль. 
А десь під ранок приходять нездійснені вчинки
Випити крові у наших вчорашніх бажань. 
Ми не втечемо від себе, куди правду діти.
Live, Forrest, live. Поки небо тебе береже.
Нам із тобою потрібно тепер народити
Тисячі хлопчиків... Тисячі, тисячі вже!
Просто біжи навпростець, будь спокійним і мудрим,
Поки війна із війною зминає траву.
І тільки місяць стікає блідим перламутром 
На закривавлено-макову передову...","*** Перерахуй на п’ять касок і випий три шоти – Ми так живем. Виживаєм, вірніше, тихцем. Та не рятують кевларові майки і шорти Від цього чорного літа з безоким лицем. Run, Forrest, run. Ти ще можеш як мінімум бігти. Втоптуй в асфальт ці даремні ненависть і страх, Поки у мертвих військових волосся і нігті  Вже проростають травою в донбаських степах. Мчати на смерть, нагло віку собі вкоротити Здатен не кожен. Ти здатен? – питання у лоб. А на Майдані тепер продаються магніти, Бій на Грушевського на холодильники щоб... Знаєш, насправді, цукерки всі-всі без начинки, І що не вибереш – втратиш ще більше, на жаль.  А десь під ранок приходять нездійснені вчинки Випити крові у наших вчорашніх бажань.  Ми не втечемо від себе, куди правду діти. Live, Forrest, live. Поки небо тебе береже. Нам із тобою потрібно тепер народити Тисячі хлопчиків... Тисячі, тисячі вже! Просто біжи навпростець, будь спокійним і мудрим, Поки війна із війною зминає траву. І тільки місяць стікає блідим перламутром  На закривавлено-макову передову...","{'ukraine', 'survival'}"
327,340,Iryna Tsilyk,Ukrainian,".Повертайся живим.
Ти, головне, повертайся додому,
Врешті знімай запилюжені берці
І вчися наново жити потому 
З перепрошитою вірою в серці.
Ти, головне, повертайся, здолавши
Чистого зла непрожований стогін,
І відпускай цю ненависть назавше
Посеред мирної тиші густої.
Ти, головне, повертайся тим шляхом, 
Що вбереже твої душу і тіло. 
Чорна земля із розпеченим пахом
Тільки дощу, а не крові хотіла.
Ти, головне, повертайся до мами.
Десь там сивіючи за видноколом, 
Матері тужать і дружать домами, 
Що пахнуть ніжністю та корвалолом.
Ти, головне, повертайся назовсім
І народи-посади-споруди, а
Вже у твоєму дітиську курносім 
Виросте радість, нова і правдива.
Ні, ця війна не потрібна нікому. 
Так, ми її не пробачимо, себто 
Перемагай і вертайся додому.
Просто живим повертайся, і все тут.",".Повертайся живим. Ти, головне, повертайся додому, Врешті знімай запилюжені берці І вчися наново жити потому  З перепрошитою вірою в серці. Ти, головне, повертайся, здолавши Чистого зла непрожований стогін, І відпускай цю ненависть назавше Посеред мирної тиші густої. Ти, головне, повертайся тим шляхом,  Що вбереже твої душу і тіло.  Чорна земля із розпеченим пахом Тільки дощу, а не крові хотіла. Ти, головне, повертайся до мами. Десь там сивіючи за видноколом,  Матері тужать і дружать домами,  Що пахнуть ніжністю та корвалолом. Ти, головне, повертайся назовсім І народи-посади-споруди, а Вже у твоєму дітиську курносім  Виросте радість, нова і правдива. Ні, ця війна не потрібна нікому.  Так, ми її не пробачимо, себто  Перемагай і вертайся додому. Просто живим повертайся, і все тут.","{'survival', 'home'}"
336,350,Iryna Tsilyk,Russian,"За что Владимир не возьмётся
всё превращается в говно
а если за говно берётся
то просто тратит меньше сил
Прекрасний стіх. Я дуже сміялась.",За что Владимир не возьмётся всё превращается в говно а если за говно берётся то просто тратит меньше сил Прекрасний стіх. Я дуже сміялась.,"{'profanity', 'humor', 'vladimir', 'putin'}"
339,353,Iryna Tsilyk,Ukrainian,".канікули.
Тут риби стрибають в долоні і лащаться.
Тут ніжним цейтрафером кліпають дні.
Стираємо простір і час якнайкраще. Це 
Так легко – ми п’яні, веселі, смішні.
Пливемо навзнак проти вітру і течії,
Цитуємо класиків, куримо дурь.
Та щось вигасає за кожною втечею
Від себе самих до поривчастих бздур.
Смакуючи суть гедонізму від А до Я,
Несемось по стрічній, де прірва – за крок.
А на поворотах заносить, і падаєм,
Збиваючи радісно лікті у кров.
П’ємо жолондкову, а з космосу зграями
Зірки опадають. Та тільки, на жаль,
Ми знову (і завжди) чомусь не встигаємо
Згадати принаймні якесь із бажань.
Поранені в серце минулими шлюбами,
Смішними любовями, грішми, людьми, 
Ми дуже старанно нікого не любимо,
Бо надто самі недолюблені ми.
Всі рано чи пізно дістанем навиліт, ким
Би ми не були в найміцнішій броні.
А тридцятирічні розгублені підлітки – 
Сумирні, сімейні, самотні, смутні...
Воложисті ночі, розпечені полудні, 
Поквапливі селфі на гідному тлі
Й раптове спустошення в пійманім погляді,
Як мертва комашка в духмяній смолі.
Дещо минуле згадалось, дописалось. А, взагалі, тема втеч від реальності мене не відпускає, да.",".канікули. Тут риби стрибають в долоні і лащаться. Тут ніжним цейтрафером кліпають дні. Стираємо простір і час якнайкраще. Це  Так легко – ми п’яні, веселі, смішні. Пливемо навзнак проти вітру і течії, Цитуємо класиків, куримо дурь. Та щось вигасає за кожною втечею Від себе самих до поривчастих бздур. Смакуючи суть гедонізму від А до Я, Несемось по стрічній, де прірва – за крок. А на поворотах заносить, і падаєм, Збиваючи радісно лікті у кров. П’ємо жолондкову, а з космосу зграями Зірки опадають. Та тільки, на жаль, Ми знову  чомусь не встигаємо Згадати принаймні якесь із бажань. Поранені в серце минулими шлюбами, Смішними любовями, грішми, людьми,  Ми дуже старанно нікого не любимо, Бо надто самі недолюблені ми. Всі рано чи пізно дістанем навиліт, ким Би ми не були в найміцнішій броні. А тридцятирічні розгублені підлітки –  Сумирні, сімейні, самотні, смутні... Воложисті ночі, розпечені полудні,  Поквапливі селфі на гідному тлі Й раптове спустошення в пійманім погляді, Як мертва комашка в духмяній смолі. Дещо минуле згадалось, дописалось. А, взагалі, тема втеч від реальності мене не відпускає, да.","{'reality', 'travel', 'vacation'}"
344,358,Serhii Zhadan,Ukrainian,"Тягне віолончеліст
свій дерев’яний інструмент,
зупиняється,
переводить подих,
ледве тримається в повітрі,
ледве волочить ноги
кам’яною вулицею.
Аж ось як кричать йому
просто в очі,
ось як люто супроводжують,
насідають зусібіч,
сиплють прокляття.
Сходяться чоловіки,
похмуро мовчать жінки,
діти кидають золоті
цитрини
бруківки.
Стільки прикрих слів
він і не чув у своєму житті.
Ніби він винен,
що має тягнути цю
бісову музику,
ніби винен, що
не може кинути її
серед вулиці.
Але кому що доведеш,
кому поясниш?
Розривають повітря крики,
розламує лемент.
Скоро проступить кров,
скоро проллються сльози.
Супляться чоловіки,
галасують жінки,
діти запам’ятають це небо
до кінця своїх
довгих днів.
А вже коли вибираються
за місто, зупиняються
на пагорбі, він ставить
інструмент на землю,
дістає смичок,
припадає до лакованого дерева,
висить на ньому,
не маючи сил відірватись,
і рухи в нього такі важкі,
і на пробитих долонях
запікається кров.
Тоді
плачуть чоловіки,
в’януть серця жінок,
і в дітей
у стиснутих кулаках
ростуть перлини
музичного слуху.
#zhadan #жадан","Тягне віолончеліст свій дерев’яний інструмент, зупиняється, переводить подих, ледве тримається в повітрі, ледве волочить ноги кам’яною вулицею. Аж ось як кричать йому просто в очі, ось як люто супроводжують, насідають зусібіч, сиплють прокляття. Сходяться чоловіки, похмуро мовчать жінки, діти кидають золоті цитрини бруківки. Стільки прикрих слів він і не чув у своєму житті. Ніби він винен, що має тягнути цю бісову музику, ніби винен, що не може кинути її серед вулиці. Але кому що доведеш, кому поясниш? Розривають повітря крики, розламує лемент. Скоро проступить кров, скоро проллються сльози. Супляться чоловіки, галасують жінки, діти запам’ятають це небо до кінця своїх довгих днів. А вже коли вибираються за місто, зупиняються на пагорбі, він ставить інструмент на землю, дістає смичок, припадає до лакованого дерева, висить на ньому, не маючи сил відірватись, і рухи в нього такі важкі, і на пробитих долонях запікається кров. Тоді плачуть чоловіки, в’януть серця жінок, і в дітей у стиснутих кулаках ростуть перлини музичного слуху.  ","{'sadness', 'sorrow', 'tears', 'music', 'cello'}"
354,370,Iryna Tsilyk,Ukrainian,"Підстрибуєш раптом вночі і скролиш, скролиш.
Цей інформаційний голод тепер на часі.
Дзвенять комарі. За вікнами сіро. То лиш
Іще один день життя і війни почався.
Відкинута ковдра стигне у місці згину.
Біжать заголовки, факти плодять нечуло. 
Мій син уві сні сміється. На сході гинуть,
Щоб він уві сні сміявся, а я це чула.
І ще один день. Надворі скребуть асфальти.
Тікають кава і дійсність чимдуж від мене. 
«Ми знову зазнали втрат», – повідомлять шпальти
І вкажуть цифри, пронизливо-безіменні.","Підстрибуєш раптом вночі і скролиш, скролиш. Цей інформаційний голод тепер на часі. Дзвенять комарі. За вікнами сіро. То лиш Іще один день життя і війни почався. Відкинута ковдра стигне у місці згину. Біжать заголовки, факти плодять нечуло.  Мій син уві сні сміється. На сході гинуть, Щоб він уві сні сміявся, а я це чула. І ще один день. Надворі скребуть асфальти. Тікають кава і дійсність чимдуж від мене.  «Ми знову зазнали втрат», – повідомлять шпальти І вкажуть цифри, пронизливо-безіменні.","{'reality', 'information'}"
356,372,Julia Musakovska,Ukrainian,"дзвіночки скляні це дитина сміється вві сні
лунка неоперена крихкість прозоре стакато
на вулицях кроки вогню але мури міцні
дитя прокидається більше не можна чекати
маленька пташино я шкірою чую твій страх
він випав сьогодні з гнізда і вчепився у шию
опудалу звіра який у залізних зубах
силкується втримати вітер і виє і виє
скляні обладунки і крила важкі снігові
впритул за новими вогнями великого міста
вогонь проникає пускає коріння в крові
а кров на снігу осідає гірка і займиста
крилатих перевертнів хмара будинок зі скла
молотить дзьобами закута в лайно і залізо
та кожна із куль повертається звідки прийшла
у вірну годину розплати чи рано чи пізно
і чорна діра що росте то діра у броні
вуста побілілі та димом застелені очі
це плаче земля це дитина сміється вві сні
це серце підпалене глухо у пляшці гуркоче
березень 2014",дзвіночки скляні це дитина сміється вві сні лунка неоперена крихкість прозоре стакато на вулицях кроки вогню але мури міцні дитя прокидається більше не можна чекати маленька пташино я шкірою чую твій страх він випав сьогодні з гнізда і вчепився у шию опудалу звіра який у залізних зубах силкується втримати вітер і виє і виє скляні обладунки і крила важкі снігові впритул за новими вогнями великого міста вогонь проникає пускає коріння в крові а кров на снігу осідає гірка і займиста крилатих перевертнів хмара будинок зі скла молотить дзьобами закута в лайно і залізо та кожна із куль повертається звідки прийшла у вірну годину розплати чи рано чи пізно і чорна діра що росте то діра у броні вуста побілілі та димом застелені очі це плаче земля це дитина сміється вві сні це серце підпалене глухо у пляшці гуркоче березень 2014,"{'the earth', 'violence', 'earth', 'childhood', 'early childhood'}"
361,378,Iryna Tsylik,Ukrainian,"Цей вірш несподівано пішов у люди. В дуже чудові і різні люди.
.Повертайся живим.
Ти, головне, повертайся додому,
Врешті знімай запилюжені берці
І вчися наново жити потому 
З перепрошитою вірою в серці.
Ти, головне, повертайся, здолавши
Чистого зла непрожований стогін,
І відпускай цю ненависть назавше
Посеред мирної тиші густої.
Ти, головне, повертайся тим шляхом, 
Що вбереже твої душу і тіло. 
Чорна земля із розпеченим пахом
Тільки дощу, а не крові хотіла.
Ти, головне, повертайся до мами.
Десь там сивіючи за видноколом, 
Матері тужать і дружать домами, 
Що пахнуть ніжністю та корвалолом.
Ти, головне, повертайся назовсім
І народи-посади-споруди, а
Вже у твоєму дітиську курносім 
Виросте радість, нова і правдива.
Ні, ця війна не потрібна нікому. 
Так, ми її не пробачимо, себто 
Перемагай і вертайся додому.
Просто живим повертайся, і все тут.","Цей вірш несподівано пішов у люди. В дуже чудові і різні люди. .Повертайся живим. Ти, головне, повертайся додому, Врешті знімай запилюжені берці І вчися наново жити потому  З перепрошитою вірою в серці. Ти, головне, повертайся, здолавши Чистого зла непрожований стогін, І відпускай цю ненависть назавше Посеред мирної тиші густої. Ти, головне, повертайся тим шляхом,  Що вбереже твої душу і тіло.  Чорна земля із розпеченим пахом Тільки дощу, а не крові хотіла. Ти, головне, повертайся до мами. Десь там сивіючи за видноколом,  Матері тужать і дружать домами,  Що пахнуть ніжністю та корвалолом. Ти, головне, повертайся назовсім І народи-посади-споруди, а Вже у твоєму дітиську курносім  Виросте радість, нова і правдива. Ні, ця війна не потрібна нікому.  Так, ми її не пробачимо, себто  Перемагай і вертайся додому. Просто живим повертайся, і все тут.","{'victory', 'home', 'overcoming'}"
368,385,Arkadii Shtypel,Russian,"не помню, выкладывал ли это воспоминание:
Эта траурная музыка,
эта стрижка полубокс...
У России два союзника:
Чейн и Стокс.","не помню, выкладывал ли это воспоминание: Эта траурная музыка, эта стрижка полубокс... У России два союзника: Чейн и Стокс.","{'irony', 'russia', 'music'}"
377,395,Dénes Krusovszky,Ukrainian,"А ось вам ще й з угорської - та-дам! (З Dénes Krusovszky)
ДІВЧИНКА
Коли зникли жінки
й неспокійне пагіння їхніх дітей, 
що вистромлювалися
з усіх дірок
і шпарин візочків,
коли бігуни
добігли свої останні кола,
але паркові тіні
ще не згустились довкола,
ти раптово відчув,
що не сам,
і впізнав її тої ж миті,
коли вона обережно виходила
зі схованки в заростях ялівцю,
хвора на водянку маленька дівчинка,
чий хирлявий скелетик
ти вже бачив того дня
в притулку Наррентурм.
Що ти тут робиш,
запитав ти, наляканий,
щоб потім рушити поруч із нею
й не мовити їй ані слова
всю дорогу додому.
A kislány
Miután eltűntek a nők
és a maguk előtt tolt
babakocsikból a legváratlanabb
réseken keresztül kilógó
gyerekvégtagok is,
miután a futók
ráadásköreiket is befejezték,
de még mindig
nem zárultak rád egészen
a park árnyai,
hirtelen megérezted,
hogy nem vagy egyedül,
és azonnal felismerted,
ahogy óvatosan kilépett
egy borókabokor takarásából
a vízfejű kislány,
akinek árva csontvázát
a Narrenturmban
épp aznap vetted szemügyre,
hát te mit keresel itt,
kérdezted riadtan,
aztán szótlanul lépdeltetek
egymás mellett
egész hazaúton.
(В разі чого, за поради і зауваження буду вдячний)",А ось вам ще й з угорської - та-дам! ,"{'women', 'girls'}"
385,403,Luba Iakymchuk,Ukrainian,"ні-ні, не одягну чорної сукні
чорних туфель і чорної хустки
прийду до тебе в білому —
якщо доведеться прийти —
і дев’ять білих спідниць
будуть на мені одна попід одною
я сяду перед дзеркалом
(воно буде завішене рядном)
чичиркну сірником
він обгорить і я
наслиню його
і намалюю собі чорні брови
поверх моїх чорних
і буде в мене дві пари брів
мої і твої над ними
ні-ні, не одягну чорної сукні
я одягну чорні брови
твої на себе
30 вересня 2014
#розкладання","ні-ні, не одягну чорної сукні чорних туфель і чорної хустки прийду до тебе в білому — якщо доведеться прийти — і дев’ять білих спідниць будуть на мені одна попід одною я сяду перед дзеркалом  чичиркну сірником він обгорить і я наслиню його і намалюю собі чорні брови поверх моїх чорних і буде в мене дві пари брів мої і твої над ними ні-ні, не одягну чорної сукні я одягну чорні брови твої на себе 30 вересня 2014 ","{'femininity', 'dressing up', 'women', 'twerking', 'dance'}"
387,405,Luba Iakymchuk,Ukrainian,"той, хто загортає в ковдри
приходить вночі
стягає з мене піжаму
та загортає мене в ковдри
як у листкове тісто
уранці приходить
той, хто загортає у руки
він розгортає ковдри
складає їх, як млинці —
ушестеро
а мене розкриту та сонну
загортає у руки і губи
той, хто загортає в слова
лиш сидить і загортає
у довгі описові конструкції
скручуючи зі сторінок самокрутки
та беручи їх до рота
8 жовтня 2014, Київ","той, хто загортає в ковдри приходить вночі стягає з мене піжаму та загортає мене в ковдри як у листкове тісто уранці приходить той, хто загортає у руки він розгортає ковдри складає їх, як млинці — ушестеро а мене розкриту та сонну загортає у руки і губи той, хто загортає в слова лиш сидить і загортає у довгі описові конструкції скручуючи зі сторінок самокрутки та беручи їх до рота 8 жовтня 2014, Київ","{'pajamas', 'sleep', 'sex', 'intimacy', 'clothing'}"
389,407,Arkadii Shtypel,Russian,"под облаков смирительной рубахой
осенний день так пасмурен и сер
в углу грустит ваш попугай флобер
и повторяет шли бы вы все на хуй",под облаков смирительной рубахой осенний день так пасмурен и сер в углу грустит ваш попугай флобер и повторяет шли бы вы все на хуй,"{'profanity', 'literature', 'clouds', 'weather', 'flaubert'}"
424,443,Iryna Tsilyk,Ukrainian,"З метою покращення настрою написала вірш. Дитячий. Про любов! Нашій киці Панні Котті присвячується 🙂
ПАН КОЦЬКИЙ і ПАННА КОТТА
Жив на вулиці Волоській
У будинку номер сім
Довговусий кіт Пан Коцький.
Він завжди казав усім:
«Добре жити на Подолі.
Тут, мурняв, мишей доволі.
Їм ковбаску, п’ю коньяк.
Я запеклий холостяк.
У дворі, за смітниками, 
Стільки цікавущих справ.
Я не знаюся з жінками,
Тобто з кицьками. Мурняв».
А на вулиці Хорива
Жила киця муркотлива. 
Сіре хутро от кутюр – 
Панна Котта, мур-мур-мур. 
Делікатна і пухнаста,
Ще й чистьоха поготів.
«Я, – казала киця часто, –
Не виношу тих котів!»
А між тим, зима похмуро
Вже підкралася до мурок.
Снігом сипали хмарки.
Мерзли лапки і думки.
Кіт сидів у себе вдома,
Киця – в себе. Час минав,
І зажура невідома 
Докучала їм. Мурняв.
Сумувала Панна Котта:
«Як самотньо, от нудота».
І Пан Коцький захандрив:
«Що за тоскні вечори…»
Вже не хочеться шаліти,
Полювати за клубком, 
Якщо ні з ким розділити 
Радість, рибку й молоко.
Але якось сніг розтанув.
Сонце гріло безустанно,
І всі кицьки та коти
Розпушили вмить хвости.
Ох, і добре на Подолі!
Особливо навесні.
Цілий день гуляй доволі,
Як зійде набридлий сніг.
Тож на вулиці Волоській 
Довговусий кіт Пан Коцький
Поміж жовтих ліхтарів
Панну Котту перестрів. 
Зупинився волохатий,
Настовбурчив шерсть і зблід.
Киця фиркнула пихато:
«Тю, який нечемний кіт».
«О, яка гарненька киця! – 
Кіт завмер і прояснів. –
Дуже хочеться жениться.
Особливо навесні».
Що там сталось з ними далі,
Ми не знаємо деталі,
Але весь котячий рід
Запросили на обід.
І на вулиці Хорива,
Коли світлий день настав, 
Наша киця муркотлива
Вийшла заміж за кота.
Десять днів за смітниками
Був бенкет. Коти з кицьками
Танцювали знов і знов.
Хай, мурняв, живе любов!","З метою покращення настрою написала вірш. Дитячий. Про любов! Нашій киці Панні Котті присвячується 🙂 ПАН КОЦЬКИЙ і ПАННА КОТТА Жив на вулиці Волоській У будинку номер сім Довговусий кіт Пан Коцький. Він завжди казав усім: «Добре жити на Подолі. Тут, мурняв, мишей доволі. Їм ковбаску, п’ю коньяк. Я запеклий холостяк. У дворі, за смітниками,  Стільки цікавущих справ. Я не знаюся з жінками, Тобто з кицьками. Мурняв». А на вулиці Хорива Жила киця муркотлива.  Сіре хутро от кутюр –  Панна Котта, мур-мур-мур.  Делікатна і пухнаста, Ще й чистьоха поготів. «Я, – казала киця часто, – Не виношу тих котів!» А між тим, зима похмуро Вже підкралася до мурок. Снігом сипали хмарки. Мерзли лапки і думки. Кіт сидів у себе вдома, Киця – в себе. Час минав, І зажура невідома  Докучала їм. Мурняв. Сумувала Панна Котта: «Як самотньо, от нудота». І Пан Коцький захандрив: «Що за тоскні вечори…» Вже не хочеться шаліти, Полювати за клубком,  Якщо ні з ким розділити  Радість, рибку й молоко. Але якось сніг розтанув. Сонце гріло безустанно, І всі кицьки та коти Розпушили вмить хвости. Ох, і добре на Подолі! Особливо навесні. Цілий день гуляй доволі, Як зійде набридлий сніг. Тож на вулиці Волоській  Довговусий кіт Пан Коцький Поміж жовтих ліхтарів Панну Котту перестрів.  Зупинився волохатий, Настовбурчив шерсть і зблід. Киця фиркнула пихато: «Тю, який нечемний кіт». «О, яка гарненька киця! –  Кіт завмер і прояснів. – Дуже хочеться жениться. Особливо навесні». Що там сталось з ними далі, Ми не знаємо деталі, Але весь котячий рід Запросили на обід. І на вулиці Хорива, Коли світлий день настав,  Наша киця муркотлива Вийшла заміж за кота. Десять днів за смітниками Був бенкет. Коти з кицьками Танцювали знов і знов. Хай, мурняв, живе любов!","{'children', 'cats', 'childhood'}"
